age_group,cause,deaths,percent,country
0-4,Noncommunicable diseases,2360.72,17.04,Turkmenistan
0-4,"Communicable, maternal, perinatal and nutritional conditions",12284.95,51.42,Türkiye
0-4,Injuries,910.77,3.81,Türkiye
0-4,Noncommunicable diseases,10693.43,44.76,Türkiye
0-4,"Communicable, maternal, perinatal and nutritional conditions",115813.67,85.41,Uganda
0-4,Injuries,6510.71,4.8,Uganda
0-4,Noncommunicable diseases,13278.82,9.79,Uganda
0-4,"Communicable, maternal, perinatal and nutritional conditions",2846.76,51.79,Ukraine
0-4,Injuries,437.06,7.95,Ukraine
0-4,Noncommunicable diseases,2213.21,40.26,Ukraine
0-4,"Communicable, maternal, perinatal and nutritional conditions",542.76,49.83,United Arab Emirates
0-4,Injuries,49.4,4.54,United Arab Emirates
0-4,Noncommunicable diseases,497.14,45.64,United Arab Emirates
0-4,"Communicable, maternal, perinatal and nutritional conditions",3334.35,56.52,United Kingdom
0-4,Injuries,254.31,4.31,United Kingdom
0-4,Noncommunicable diseases,2310.72,39.17,United Kingdom
0-4,"Communicable, maternal, perinatal and nutritional conditions",160519.86,86.5,United Republic of Tanzania
0-4,Injuries,9600.45,5.17,United Republic of Tanzania
0-4,Noncommunicable diseases,15446.81,8.32,United Republic of Tanzania
0-4,"Communicable, maternal, perinatal and nutritional conditions",22810.35,48.51,United States of America
0-4,Injuries,6078.3,12.93,United States of America
0-4,Noncommunicable diseases,18137.49,38.57,United States of America
0-4,"Communicable, maternal, perinatal and nutritional conditions",268.2,48.52,Uruguay
0-4,Injuries,45.18,8.17,Uruguay
0-4,Noncommunicable diseases,239.36,43.3,Uruguay
0-4,"Communicable, maternal, perinatal and nutritional conditions",14422.51,58.91,Uzbekistan
0-4,Injuries,1428.11,5.83,Uzbekistan
0-4,Noncommunicable diseases,8630.7,35.25,Uzbekistan
0-4,"Communicable, maternal, perinatal and nutritional conditions",231.96,69.22,Vanuatu
0-4,Injuries,18.75,5.59,Vanuatu
0-4,Noncommunicable diseases,84.39,25.18,Vanuatu
0-4,"Communicable, maternal, perinatal and nutritional conditions",14443.86,67.72,Venezuela (Bolivarian Republic of)
0-4,Injuries,1582.02,7.42,Venezuela (Bolivarian Republic of)
0-4,Noncommunicable diseases,5302.19,24.86,Venezuela (Bolivarian Republic of)
0-4,"Communicable, maternal, perinatal and nutritional conditions",36827.35,59.67,Viet Nam
0-4,Injuries,5746.8,9.31,Viet Nam
0-4,Noncommunicable diseases,19144.72,31.02,Viet Nam
0-4,"Communicable, maternal, perinatal and nutritional conditions",94025.51,80.89,Yemen
0-4,Injuries,11172.19,9.61,Yemen
0-4,Noncommunicable diseases,11043.24,9.5,Yemen
0-4,"Communicable, maternal, perinatal and nutritional conditions",64035.5,86.44,Zambia
0-4,Injuries,3851.55,5.2,Zambia
0-4,Noncommunicable diseases,6192.95,8.36,Zambia
0-4,"Communicable, maternal, perinatal and nutritional conditions",39144.82,83.57,Zimbabwe
0-4,Injuries,3078.94,6.57,Zimbabwe
0-4,Noncommunicable diseases,4619.66,9.86,Zimbabwe
0-4,"Communicable, maternal, perinatal and nutritional conditions",2950.57,68.22,"occupied Palestinian territory, including east Jerusalem"
0-4,Injuries,168.79,3.9,"occupied Palestinian territory, including east Jerusalem"
0-4,Noncommunicable diseases,1205.83,27.88,"occupied Palestinian territory, including east Jerusalem"
5-14,"Communicable, maternal, perinatal and nutritional conditions",2687.15,13.7,Afghanistan
5-14,Injuries,13840.73,70.57,Afghanistan
5-14,Noncommunicable diseases,3084.76,15.73,Afghanistan
5-14,"Communicable, maternal, perinatal and nutritional conditions",21.86,17.69,Albania
5-14,Injuries,48.88,39.55,Albania
5-14,Noncommunicable diseases,52.84,42.76,Albania
5-14,"Communicable, maternal, perinatal and nutritional conditions",548.2,10.91,Algeria
5-14,Injuries,2380.33,47.37,Algeria
5-14,Noncommunicable diseases,2096.67,41.72,Algeria
5-14,"Communicable, maternal, perinatal and nutritional conditions",18783.12,61.77,Angola
5-14,Injuries,6201.24,20.39,Angola
5-14,Noncommunicable diseases,5421.88,17.83,Angola
5-14,"Communicable, maternal, perinatal and nutritional conditions",1.28,32.09,Antigua and Barbuda
5-14,Injuries,0.82,20.7,Antigua and Barbuda
5-14,Noncommunicable diseases,1.88,47.21,Antigua and Barbuda
5-14,"Communicable, maternal, perinatal and nutritional conditions",359.2,14.28,Argentina
5-14,Injuries,762.01,30.29,Argentina
5-14,Noncommunicable diseases,1394.37,55.43,Argentina
5-14,"Communicable, maternal, perinatal and nutritional conditions",40.39,26.04,Armenia
5-14,Injuries,50.51,32.57,Armenia
5-14,Noncommunicable diseases,64.2,41.39,Armenia
5-14,"Communicable, maternal, perinatal and nutritional conditions",25.62,4.75,Australia
5-14,Injuries,213.07,39.52,Australia
5-14,Noncommunicable diseases,300.45,55.73,Australia
5-14,"Communicable, maternal, perinatal and nutritional conditions",12.85,12.12,Austria
5-14,Injuries,21.49,20.26,Austria
5-14,Noncommunicable diseases,71.71,67.61,Austria
5-14,"Communicable, maternal, perinatal and nutritional conditions",256.87,25.68,Azerbaijan
5-14,Injuries,441.26,44.12,Azerbaijan
5-14,Noncommunicable diseases,302.06,30.2,Azerbaijan
5-14,"Communicable, maternal, perinatal and nutritional conditions",6.04,24.73,Bahamas
5-14,Injuries,11.7,47.88,Bahamas
5-14,Noncommunicable diseases,6.69,27.39,Bahamas
5-14,"Communicable, maternal, perinatal and nutritional conditions",8.97,13.08,Bahrain
5-14,Injuries,18.82,27.45,Bahrain
5-14,Noncommunicable diseases,40.77,59.46,Bahrain
5-14,"Communicable, maternal, perinatal and nutritional conditions",8855.73,28.25,Bangladesh
5-14,Injuries,16502.06,52.64,Bangladesh
5-14,Noncommunicable diseases,5992.42,19.11,Bangladesh
5-14,"Communicable, maternal, perinatal and nutritional conditions",2.58,20.75,Barbados
5-14,Injuries,5.03,40.44,Barbados
5-14,Noncommunicable diseases,4.83,38.81,Barbados
5-14,"Communicable, maternal, perinatal and nutritional conditions",37.46,15.9,Belarus
5-14,Injuries,88.74,37.66,Belarus
5-14,Noncommunicable diseases,109.43,46.44,Belarus
5-14,"Communicable, maternal, perinatal and nutritional conditions",12.15,6.04,Belgium
5-14,Injuries,60.06,29.86,Belgium
5-14,Noncommunicable diseases,128.94,64.1,Belgium
5-14,"Communicable, maternal, perinatal and nutritional conditions",6.34,18.88,Belize
5-14,Injuries,18.98,56.47,Belize
5-14,Noncommunicable diseases,8.28,24.65,Belize
5-14,"Communicable, maternal, perinatal and nutritional conditions",6005.74,44.46,Benin
5-14,Injuries,4072.77,30.15,Benin
5-14,Noncommunicable diseases,3430.55,25.39,Benin
5-14,"Communicable, maternal, perinatal and nutritional conditions",62.33,34.21,Bhutan
5-14,Injuries,68.63,37.66,Bhutan
5-14,Noncommunicable diseases,51.27,28.13,Bhutan
5-14,"Communicable, maternal, perinatal and nutritional conditions",616.17,31.76,Bolivia (Plurinational State of)
5-14,Injuries,789.88,40.72,Bolivia (Plurinational State of)
5-14,Noncommunicable diseases,533.77,27.52,Bolivia (Plurinational State of)
5-14,"Communicable, maternal, perinatal and nutritional conditions",20.73,29.41,Bosnia and Herzegovina
5-14,Injuries,27.34,38.79,Bosnia and Herzegovina
5-14,Noncommunicable diseases,22.42,31.8,Bosnia and Herzegovina
5-14,"Communicable, maternal, perinatal and nutritional conditions",414.12,59.77,Botswana
5-14,Injuries,206.3,29.78,Botswana
5-14,Noncommunicable diseases,72.39,10.45,Botswana
5-14,"Communicable, maternal, perinatal and nutritional conditions",1967.36,14.43,Brazil
5-14,Injuries,5237.33,38.41,Brazil
5-14,Noncommunicable diseases,6428.96,47.16,Brazil
5-14,"Communicable, maternal, perinatal and nutritional conditions",1.5,6.02,Brunei Darussalam
5-14,Injuries,5.12,20.62,Brunei Darussalam
5-14,Noncommunicable diseases,18.23,73.37,Brunei Darussalam
5-14,"Communicable, maternal, perinatal and nutritional conditions",33.85,13.65,Bulgaria
5-14,Injuries,80.04,32.28,Bulgaria
5-14,Noncommunicable diseases,134.11,54.08,Bulgaria
5-14,"Communicable, maternal, perinatal and nutritional conditions",10648.89,47.87,Burkina Faso
5-14,Injuries,6446.98,28.98,Burkina Faso
5-14,Noncommunicable diseases,5147.76,23.14,Burkina Faso
5-14,"Communicable, maternal, perinatal and nutritional conditions",9552.38,60.42,Burundi
5-14,Injuries,3487.18,22.06,Burundi
5-14,Noncommunicable diseases,2769.74,17.52,Burundi
5-14,"Communicable, maternal, perinatal and nutritional conditions",9.74,29.29,Cabo Verde
5-14,Injuries,15.18,45.64,Cabo Verde
5-14,Noncommunicable diseases,8.34,25.07,Cabo Verde
5-14,"Communicable, maternal, perinatal and nutritional conditions",1099.18,35.64,Cambodia
5-14,Injuries,1012.64,32.83,Cambodia
5-14,Noncommunicable diseases,972.42,31.53,Cambodia
5-14,"Communicable, maternal, perinatal and nutritional conditions",15216.31,50.07,Cameroon
5-14,Injuries,7258.1,23.88,Cameroon
5-14,Noncommunicable diseases,7914.51,26.04,Cameroon
5-14,"Communicable, maternal, perinatal and nutritional conditions",53.41,7.21,Canada
5-14,Injuries,261.36,35.29,Canada
5-14,Noncommunicable diseases,425.76,57.49,Canada
5-14,"Communicable, maternal, perinatal and nutritional conditions",4556.87,60.69,Central African Republic
5-14,Injuries,1835.93,24.45,Central African Republic
5-14,Noncommunicable diseases,1115.09,14.85,Central African Republic
5-14,"Communicable, maternal, perinatal and nutritional conditions",12391.13,54.38,Chad
5-14,Injuries,6473.36,28.41,Chad
5-14,Noncommunicable diseases,3920.28,17.21,Chad
5-14,"Communicable, maternal, perinatal and nutritional conditions",44.25,6.82,Chile
5-14,Injuries,217.45,33.49,Chile
5-14,Noncommunicable diseases,387.6,59.69,Chile
5-14,"Communicable, maternal, perinatal and nutritional conditions",7795.62,12.27,China
5-14,Injuries,34098.23,53.68,China
5-14,Noncommunicable diseases,21630.82,34.05,China
5-14,"Communicable, maternal, perinatal and nutritional conditions",542.1,14.46,Colombia
5-14,Injuries,1572.06,41.92,Colombia
5-14,Noncommunicable diseases,1636.06,43.63,Colombia
5-14,"Communicable, maternal, perinatal and nutritional conditions",76.32,35.56,Comoros
5-14,Injuries,81.09,37.78,Comoros
5-14,Noncommunicable diseases,57.24,26.66,Comoros
5-14,"Communicable, maternal, perinatal and nutritional conditions",1562.52,75.85,Congo
5-14,Injuries,281.63,13.67,Congo
5-14,Noncommunicable diseases,215.86,10.48,Congo
5-14,"Communicable, maternal, perinatal and nutritional conditions",23.96,10.24,Costa Rica
5-14,Injuries,63.42,27.12,Costa Rica
5-14,Noncommunicable diseases,146.51,62.64,Costa Rica
5-14,"Communicable, maternal, perinatal and nutritional conditions",2.04,2.12,Croatia
5-14,Injuries,39.73,41.39,Croatia
5-14,Noncommunicable diseases,54.22,56.48,Croatia
5-14,"Communicable, maternal, perinatal and nutritional conditions",93.39,18.57,Cuba
5-14,Injuries,97.18,19.33,Cuba
5-14,Noncommunicable diseases,312.29,62.1,Cuba
5-14,Injuries,11.75,37.62,Cyprus
5-14,Noncommunicable diseases,19.49,62.38,Cyprus
5-14,"Communicable, maternal, perinatal and nutritional conditions",24.4,12.25,Czechia
5-14,Injuries,59.74,30.0,Czechia
5-14,Noncommunicable diseases,115.02,57.75,Czechia
5-14,"Communicable, maternal, perinatal and nutritional conditions",12877.65,47.6,Côte d'Ivoire
5-14,Injuries,7742.14,28.62,Côte d'Ivoire
5-14,Noncommunicable diseases,6436.41,23.79,Côte d'Ivoire
5-14,"Communicable, maternal, perinatal and nutritional conditions",370.21,16.18,Democratic People's Republic of Korea
5-14,Injuries,1214.28,53.07,Democratic People's Republic of Korea
5-14,Noncommunicable diseases,703.46,30.75,Democratic People's Republic of Korea
5-14,"Communicable, maternal, perinatal and nutritional conditions",59375.33,53.8,Democratic Republic of the Congo
5-14,Injuries,27574.27,24.99,Democratic Republic of the Congo
5-14,Noncommunicable diseases,23403.66,21.21,Democratic Republic of the Congo
5-14,Injuries,27.66,32.12,Denmark
5-14,Noncommunicable diseases,58.45,67.88,Denmark
5-14,"Communicable, maternal, perinatal and nutritional conditions",273.03,48.8,Djibouti
5-14,Injuries,164.74,29.44,Djibouti
5-14,Noncommunicable diseases,121.72,21.76,Djibouti
5-14,"Communicable, maternal, perinatal and nutritional conditions",328.41,26.51,Dominican Republic
5-14,Injuries,491.09,39.64,Dominican Republic
5-14,Noncommunicable diseases,419.42,33.85,Dominican Republic
5-14,"Communicable, maternal, perinatal and nutritional conditions",284.49,16.25,Ecuador
5-14,Injuries,584.11,33.36,Ecuador
5-14,Noncommunicable diseases,882.38,50.39,Ecuador
5-14,"Communicable, maternal, perinatal and nutritional conditions",3479.99,18.95,Egypt
5-14,Injuries,6032.89,32.85,Egypt
5-14,Noncommunicable diseases,8852.48,48.2,Egypt
5-14,"Communicable, maternal, perinatal and nutritional conditions",128.4,15.55,El Salvador
5-14,Injuries,414.45,50.2,El Salvador
5-14,Noncommunicable diseases,282.82,34.25,El Salvador
5-14,"Communicable, maternal, perinatal and nutritional conditions",911.0,69.54,Equatorial Guinea
5-14,Injuries,228.74,17.46,Equatorial Guinea
5-14,Noncommunicable diseases,170.37,13.0,Equatorial Guinea
5-14,"Communicable, maternal, perinatal and nutritional conditions",647.0,51.14,Eritrea
5-14,Injuries,335.51,26.52,Eritrea
5-14,Noncommunicable diseases,282.75,22.35,Eritrea
5-14,"Communicable, maternal, perinatal and nutritional conditions",2.01,6.26,Estonia
5-14,Injuries,7.86,24.56,Estonia
5-14,Noncommunicable diseases,22.15,69.18,Estonia
5-14,"Communicable, maternal, perinatal and nutritional conditions",400.16,54.55,Eswatini
5-14,Injuries,213.5,29.1,Eswatini
5-14,Noncommunicable diseases,119.96,16.35,Eswatini
5-14,"Communicable, maternal, perinatal and nutritional conditions",22494.92,51.71,Ethiopia
5-14,Injuries,13139.82,30.2,Ethiopia
5-14,Noncommunicable diseases,7868.52,18.09,Ethiopia
5-14,"Communicable, maternal, perinatal and nutritional conditions",57.77,34.07,Fiji
5-14,Injuries,46.49,27.42,Fiji
5-14,Noncommunicable diseases,65.29,38.51,Fiji
5-14,"Communicable, maternal, perinatal and nutritional conditions",2.25,2.56,Finland
5-14,Injuries,24.74,28.08,Finland
5-14,Noncommunicable diseases,61.11,69.37,Finland
5-14,"Communicable, maternal, perinatal and nutritional conditions",34.7,2.88,France
5-14,Injuries,392.38,32.6,France
5-14,Noncommunicable diseases,776.52,64.52,France
5-14,"Communicable, maternal, perinatal and nutritional conditions",850.0,65.92,Gabon
5-14,Injuries,241.2,18.71,Gabon
5-14,Noncommunicable diseases,198.15,15.37,Gabon
5-14,"Communicable, maternal, perinatal and nutritional conditions",671.06,49.63,Gambia
5-14,Injuries,382.43,28.29,Gambia
5-14,Noncommunicable diseases,298.51,22.08,Gambia
5-14,"Communicable, maternal, perinatal and nutritional conditions",19.06,10.02,Georgia
5-14,Injuries,61.11,32.12,Georgia
5-14,Noncommunicable diseases,110.06,57.86,Georgia
5-14,"Communicable, maternal, perinatal and nutritional conditions",43.83,3.76,Germany
5-14,Injuries,293.41,25.15,Germany
5-14,Noncommunicable diseases,829.63,71.1,Germany
5-14,"Communicable, maternal, perinatal and nutritional conditions",7525.79,47.6,Ghana
5-14,Injuries,4384.25,27.73,Ghana
5-14,Noncommunicable diseases,3901.32,24.67,Ghana
5-14,"Communicable, maternal, perinatal and nutritional conditions",2.01,1.26,Greece
5-14,Injuries,56.28,35.29,Greece
5-14,Noncommunicable diseases,101.2,63.45,Greece
5-14,"Communicable, maternal, perinatal and nutritional conditions",2.42,23.59,Grenada
5-14,Injuries,2.79,27.23,Grenada
5-14,Noncommunicable diseases,5.05,49.18,Grenada
5-14,"Communicable, maternal, perinatal and nutritional conditions",1085.06,39.44,Guatemala
5-14,Injuries,777.93,28.28,Guatemala
5-14,Noncommunicable diseases,888.04,32.28,Guatemala
5-14,"Communicable, maternal, perinatal and nutritional conditions",6882.01,52.38,Guinea
5-14,Injuries,3966.36,30.19,Guinea
5-14,Noncommunicable diseases,2289.09,17.42,Guinea
5-14,"Communicable, maternal, perinatal and nutritional conditions",795.15,55.4,Guinea-Bissau
5-14,Injuries,418.84,29.18,Guinea-Bissau
5-14,Noncommunicable diseases,221.43,15.43,Guinea-Bissau
5-14,"Communicable, maternal, perinatal and nutritional conditions",27.78,24.12,Guyana
5-14,Injuries,36.83,31.98,Guyana
5-14,Noncommunicable diseases,50.57,43.9,Guyana
5-14,"Communicable, maternal, perinatal and nutritional conditions",1079.94,18.63,Haiti
5-14,Injuries,3167.24,54.64,Haiti
5-14,Noncommunicable diseases,1549.11,26.73,Haiti
5-14,"Communicable, maternal, perinatal and nutritional conditions",268.51,12.72,Honduras
5-14,Injuries,1181.69,55.97,Honduras
5-14,Noncommunicable diseases,661.23,31.32,Honduras
5-14,"Communicable, maternal, perinatal and nutritional conditions",8.24,4.58,Hungary
5-14,Injuries,61.27,34.04,Hungary
5-14,Noncommunicable diseases,110.49,61.38,Hungary
5-14,Injuries,2.34,58.34,Iceland
5-14,Noncommunicable diseases,1.67,41.66,Iceland
5-14,"Communicable, maternal, perinatal and nutritional conditions",103595.26,51.31,India
5-14,Injuries,57859.1,28.66,India
5-14,Noncommunicable diseases,40428.49,20.03,India
5-14,"Communicable, maternal, perinatal and nutritional conditions",23992.86,52.69,Indonesia
5-14,Injuries,10140.94,22.27,Indonesia
5-14,Noncommunicable diseases,11402.77,25.04,Indonesia
5-14,"Communicable, maternal, perinatal and nutritional conditions",1343.65,15.46,Iran (Islamic Republic of)
5-14,Injuries,3634.46,41.81,Iran (Islamic Republic of)
5-14,Noncommunicable diseases,3715.1,42.74,Iran (Islamic Republic of)
5-14,"Communicable, maternal, perinatal and nutritional conditions",1413.07,12.33,Iraq
5-14,Injuries,6421.8,56.05,Iraq
5-14,Noncommunicable diseases,3622.83,31.62,Iraq
5-14,"Communicable, maternal, perinatal and nutritional conditions",6.91,8.17,Ireland
5-14,Injuries,18.23,21.57,Ireland
5-14,Noncommunicable diseases,59.4,70.26,Ireland
5-14,"Communicable, maternal, perinatal and nutritional conditions",9.53,3.62,Israel
5-14,Injuries,109.0,41.41,Israel
5-14,Noncommunicable diseases,144.69,54.97,Israel
5-14,"Communicable, maternal, perinatal and nutritional conditions",41.65,5.63,Italy
5-14,Injuries,138.25,18.71,Italy
5-14,Noncommunicable diseases,559.2,75.66,Italy
5-14,"Communicable, maternal, perinatal and nutritional conditions",40.68,14.93,Jamaica
5-14,Injuries,123.16,45.19,Jamaica
5-14,Noncommunicable diseases,108.68,39.88,Jamaica
5-14,"Communicable, maternal, perinatal and nutritional conditions",57.06,3.59,Japan
5-14,Injuries,562.34,35.41,Japan
5-14,Noncommunicable diseases,968.67,61.0,Japan
5-14,"Communicable, maternal, perinatal and nutritional conditions",97.73,8.18,Jordan
5-14,Injuries,685.23,57.38,Jordan
5-14,Noncommunicable diseases,411.18,34.43,Jordan
5-14,"Communicable, maternal, perinatal and nutritional conditions",335.72,17.55,Kazakhstan
5-14,Injuries,832.96,43.54,Kazakhstan
5-14,Noncommunicable diseases,744.26,38.91,Kazakhstan
5-14,"Communicable, maternal, perinatal and nutritional conditions",8750.11,61.67,Kenya
5-14,Injuries,3236.95,22.81,Kenya
5-14,Noncommunicable diseases,2201.5,15.52,Kenya
5-14,"Communicable, maternal, perinatal and nutritional conditions",40.66,63.73,Kiribati
5-14,Injuries,5.76,9.03,Kiribati
5-14,Noncommunicable diseases,17.38,27.24,Kiribati
5-14,"Communicable, maternal, perinatal and nutritional conditions",35.18,16.21,Kuwait
5-14,Injuries,79.6,36.67,Kuwait
5-14,Noncommunicable diseases,102.27,47.12,Kuwait
5-14,"Communicable, maternal, perinatal and nutritional conditions",193.55,24.19,Kyrgyzstan
5-14,Injuries,316.01,39.49,Kyrgyzstan
5-14,Noncommunicable diseases,290.62,36.32,Kyrgyzstan
5-14,"Communicable, maternal, perinatal and nutritional conditions",671.44,33.76,Lao People's Democratic Republic
5-14,Injuries,642.49,32.3,Lao People's Democratic Republic
5-14,Noncommunicable diseases,675.22,33.95,Lao People's Democratic Republic
5-14,"Communicable, maternal, perinatal and nutritional conditions",2.2,5.08,Latvia
5-14,Injuries,22.79,52.58,Latvia
5-14,Noncommunicable diseases,18.34,42.33,Latvia
5-14,"Communicable, maternal, perinatal and nutritional conditions",166.2,21.32,Lebanon
5-14,Injuries,300.21,38.51,Lebanon
5-14,Noncommunicable diseases,313.12,40.17,Lebanon
5-14,"Communicable, maternal, perinatal and nutritional conditions",536.14,60.69,Lesotho
5-14,Injuries,218.04,24.68,Lesotho
5-14,Noncommunicable diseases,129.23,14.63,Lesotho
5-14,"Communicable, maternal, perinatal and nutritional conditions",2519.53,53.61,Liberia
5-14,Injuries,1158.64,24.65,Liberia
5-14,Noncommunicable diseases,1021.81,21.74,Liberia
5-14,"Communicable, maternal, perinatal and nutritional conditions",98.31,13.06,Libya
5-14,Injuries,311.09,41.34,Libya
5-14,Noncommunicable diseases,343.18,45.6,Libya
5-14,"Communicable, maternal, perinatal and nutritional conditions",2.4,3.5,Lithuania
5-14,Injuries,21.05,30.75,Lithuania
5-14,Noncommunicable diseases,45.03,65.75,Lithuania
5-14,Injuries,0.95,23.57,Luxembourg
5-14,Noncommunicable diseases,3.07,76.43,Luxembourg
5-14,"Communicable, maternal, perinatal and nutritional conditions",17415.62,61.96,Madagascar
5-14,Injuries,6138.62,21.84,Madagascar
5-14,Noncommunicable diseases,4553.64,16.2,Madagascar
5-14,"Communicable, maternal, perinatal and nutritional conditions",8169.35,61.84,Malawi
5-14,Injuries,2429.73,18.39,Malawi
5-14,Noncommunicable diseases,2611.35,19.77,Malawi
5-14,"Communicable, maternal, perinatal and nutritional conditions",776.48,39.08,Malaysia
5-14,Injuries,470.13,23.66,Malaysia
5-14,Noncommunicable diseases,740.2,37.26,Malaysia
5-14,"Communicable, maternal, perinatal and nutritional conditions",10.56,48.1,Maldives
5-14,Injuries,6.3,28.68,Maldives
5-14,Noncommunicable diseases,5.1,23.22,Maldives
5-14,"Communicable, maternal, perinatal and nutritional conditions",14193.39,50.93,Mali
5-14,Injuries,7384.32,26.5,Mali
5-14,Noncommunicable diseases,6289.84,22.57,Mali
5-14,Injuries,1.03,12.64,Malta
5-14,Noncommunicable diseases,7.09,87.36,Malta
5-14,"Communicable, maternal, perinatal and nutritional conditions",919.08,45.02,Mauritania
5-14,Injuries,584.54,28.63,Mauritania
5-14,Noncommunicable diseases,537.86,26.35,Mauritania
5-14,"Communicable, maternal, perinatal and nutritional conditions",6.8,14.35,Mauritius
5-14,Injuries,11.03,23.27,Mauritius
5-14,Noncommunicable diseases,29.57,62.39,Mauritius
5-14,"Communicable, maternal, perinatal and nutritional conditions",1538.92,13.81,Mexico
5-14,Injuries,3558.56,31.93,Mexico
5-14,Noncommunicable diseases,6048.13,54.26,Mexico
5-14,"Communicable, maternal, perinatal and nutritional conditions",11.26,41.9,Micronesia (Federated States of)
5-14,Injuries,7.2,26.77,Micronesia (Federated States of)
5-14,Noncommunicable diseases,8.42,31.33,Micronesia (Federated States of)
5-14,"Communicable, maternal, perinatal and nutritional conditions",96.55,22.42,Mongolia
5-14,Injuries,193.83,45.0,Mongolia
5-14,Noncommunicable diseases,140.34,32.58,Mongolia
5-14,"Communicable, maternal, perinatal and nutritional conditions",5.44,30.86,Montenegro
5-14,Injuries,5.46,30.94,Montenegro
5-14,Noncommunicable diseases,6.74,38.2,Montenegro
5-14,"Communicable, maternal, perinatal and nutritional conditions",569.17,17.52,Morocco
5-14,Injuries,1338.15,41.2,Morocco
5-14,Noncommunicable diseases,1340.72,41.28,Morocco
5-14,"Communicable, maternal, perinatal and nutritional conditions",14011.92,57.52,Mozambique
5-14,Injuries,5106.08,20.96,Mozambique
5-14,Noncommunicable diseases,5241.52,21.52,Mozambique
5-14,"Communicable, maternal, perinatal and nutritional conditions",2821.53,36.58,Myanmar
5-14,Injuries,2929.15,37.98,Myanmar
5-14,Noncommunicable diseases,1961.71,25.44,Myanmar
5-14,"Communicable, maternal, perinatal and nutritional conditions",979.52,57.91,Namibia
5-14,Injuries,456.92,27.02,Namibia
5-14,Noncommunicable diseases,254.9,15.07,Namibia
5-14,"Communicable, maternal, perinatal and nutritional conditions",1983.63,37.66,Nepal
5-14,Injuries,2277.58,43.24,Nepal
5-14,Noncommunicable diseases,1005.81,19.1,Nepal
5-14,"Communicable, maternal, perinatal and nutritional conditions",12.08,4.02,Netherlands
5-14,Injuries,93.65,31.14,Netherlands
5-14,Noncommunicable diseases,195.02,64.84,Netherlands
5-14,"Communicable, maternal, perinatal and nutritional conditions",4.96,3.69,New Zealand
5-14,Injuries,62.3,46.36,New Zealand
5-14,Noncommunicable diseases,67.14,49.95,New Zealand
5-14,"Communicable, maternal, perinatal and nutritional conditions",81.58,9.3,Nicaragua
5-14,Injuries,270.48,30.82,Nicaragua
5-14,Noncommunicable diseases,525.42,59.88,Nicaragua
5-14,"Communicable, maternal, perinatal and nutritional conditions",25812.69,54.94,Niger
5-14,Injuries,12894.24,27.44,Niger
5-14,Noncommunicable diseases,8277.53,17.62,Niger
5-14,"Communicable, maternal, perinatal and nutritional conditions",135182.61,57.03,Nigeria
5-14,Injuries,47198.82,19.91,Nigeria
5-14,Noncommunicable diseases,54659.28,23.06,Nigeria
5-14,"Communicable, maternal, perinatal and nutritional conditions",7.78,13.47,North Macedonia
5-14,Injuries,19.76,34.19,North Macedonia
5-14,Noncommunicable diseases,30.26,52.34,North Macedonia
5-14,"Communicable, maternal, perinatal and nutritional conditions",6.59,7.48,Norway
5-14,Injuries,19.74,22.41,Norway
5-14,Noncommunicable diseases,61.74,70.1,Norway
5-14,"Communicable, maternal, perinatal and nutritional conditions",83.46,23.49,Oman
5-14,Injuries,118.29,33.29,Oman
5-14,Noncommunicable diseases,153.53,43.21,Oman
5-14,"Communicable, maternal, perinatal and nutritional conditions",36264.12,40.66,Pakistan
5-14,Injuries,26960.06,30.23,Pakistan
5-14,Noncommunicable diseases,25957.66,29.11,Pakistan
5-14,"Communicable, maternal, perinatal and nutritional conditions",70.9,15.19,Panama
5-14,Injuries,149.86,32.1,Panama
5-14,Noncommunicable diseases,246.02,52.71,Panama
5-14,"Communicable, maternal, perinatal and nutritional conditions",1514.47,42.34,Papua New Guinea
5-14,Injuries,1086.46,30.38,Papua New Guinea
5-14,Noncommunicable diseases,975.75,27.28,Papua New Guinea
5-14,"Communicable, maternal, perinatal and nutritional conditions",76.69,12.11,Paraguay
5-14,Injuries,295.5,46.66,Paraguay
5-14,Noncommunicable diseases,261.06,41.23,Paraguay
5-14,"Communicable, maternal, perinatal and nutritional conditions",897.25,32.48,Peru
5-14,Injuries,756.38,27.38,Peru
5-14,Noncommunicable diseases,1108.94,40.14,Peru
5-14,"Communicable, maternal, perinatal and nutritional conditions",8001.72,41.78,Philippines
5-14,Injuries,4113.49,21.48,Philippines
5-14,Noncommunicable diseases,7038.81,36.75,Philippines
5-14,"Communicable, maternal, perinatal and nutritional conditions",82.49,10.76,Poland
5-14,Injuries,223.26,29.13,Poland
5-14,Noncommunicable diseases,460.65,60.11,Poland
5-14,"Communicable, maternal, perinatal and nutritional conditions",17.86,9.6,Portugal
5-14,Injuries,35.82,19.24,Portugal
5-14,Noncommunicable diseases,132.48,71.16,Portugal
5-14,"Communicable, maternal, perinatal and nutritional conditions",1.28,3.16,Puerto Rico
5-14,Injuries,13.59,33.54,Puerto Rico
5-14,Noncommunicable diseases,25.64,63.3,Puerto Rico
5-14,"Communicable, maternal, perinatal and nutritional conditions",10.59,13.96,Qatar
5-14,Injuries,30.16,39.76,Qatar
5-14,Noncommunicable diseases,35.1,46.28,Qatar
