age_group,cause,deaths,percent,country
All ages,Noncommunicable diseases,156945.0,66.01,Cambodia
All ages,"Communicable, maternal, perinatal and nutritional conditions",232587.61,55.7,Cameroon
All ages,Injuries,32482.46,7.78,Cameroon
All ages,Noncommunicable diseases,152474.59,36.52,Cameroon
All ages,"Communicable, maternal, perinatal and nutritional conditions",51942.19,8.36,Canada
All ages,Injuries,34188.68,5.5,Canada
All ages,Noncommunicable diseases,535401.09,86.14,Canada
All ages,"Communicable, maternal, perinatal and nutritional conditions",81034.8,67.65,Central African Republic
All ages,Injuries,10925.99,9.12,Central African Republic
All ages,Noncommunicable diseases,27821.03,23.23,Central African Republic
All ages,"Communicable, maternal, perinatal and nutritional conditions",218748.2,67.58,Chad
All ages,Injuries,27622.23,8.53,Chad
All ages,Noncommunicable diseases,77318.38,23.89,Chad
All ages,"Communicable, maternal, perinatal and nutritional conditions",62374.64,21.34,Chile
All ages,Injuries,15831.44,5.42,Chile
All ages,Noncommunicable diseases,214026.48,73.24,Chile
All ages,"Communicable, maternal, perinatal and nutritional conditions",737810.06,3.2,China
All ages,Injuries,1383725.06,6.01,China
All ages,Noncommunicable diseases,20903286.81,90.79,China
All ages,"Communicable, maternal, perinatal and nutritional conditions",236384.45,32.63,Colombia
All ages,Injuries,70231.78,9.7,Colombia
All ages,Noncommunicable diseases,417723.61,57.67,Colombia
All ages,"Communicable, maternal, perinatal and nutritional conditions",4138.87,38.52,Comoros
All ages,Injuries,1129.91,10.52,Comoros
All ages,Noncommunicable diseases,5475.37,50.96,Comoros
All ages,"Communicable, maternal, perinatal and nutritional conditions",50638.44,59.67,Congo
All ages,Injuries,4831.12,5.69,Congo
All ages,Noncommunicable diseases,29395.03,34.64,Congo
All ages,"Communicable, maternal, perinatal and nutritional conditions",15274.7,24.44,Costa Rica
All ages,Injuries,5439.97,8.7,Costa Rica
All ages,Noncommunicable diseases,41778.9,66.85,Costa Rica
All ages,"Communicable, maternal, perinatal and nutritional conditions",18510.23,15.35,Croatia
All ages,Injuries,5065.43,4.2,Croatia
All ages,Noncommunicable diseases,97032.39,80.45,Croatia
All ages,"Communicable, maternal, perinatal and nutritional conditions",116363.53,34.61,Cuba
All ages,Injuries,14588.74,4.34,Cuba
All ages,Noncommunicable diseases,205270.78,61.05,Cuba
All ages,"Communicable, maternal, perinatal and nutritional conditions",2189.23,12.97,Cyprus
All ages,Injuries,718.96,4.26,Cyprus
All ages,Noncommunicable diseases,13964.55,82.76,Cyprus
All ages,"Communicable, maternal, perinatal and nutritional conditions",65777.59,23.46,Czechia
All ages,Injuries,9993.39,3.56,Czechia
All ages,Noncommunicable diseases,204579.94,72.97,Czechia
All ages,"Communicable, maternal, perinatal and nutritional conditions",222918.56,54.04,Côte d'Ivoire
All ages,Injuries,39978.12,9.69,Côte d'Ivoire
All ages,Noncommunicable diseases,149600.81,36.27,Côte d'Ivoire
All ages,"Communicable, maternal, perinatal and nutritional conditions",66771.72,12.68,Democratic People's Republic of Korea
All ages,Injuries,40040.63,7.61,Democratic People's Republic of Korea
All ages,Noncommunicable diseases,419666.49,79.71,Democratic People's Republic of Korea
All ages,"Communicable, maternal, perinatal and nutritional conditions",960106.86,56.78,Democratic Republic of the Congo
All ages,Injuries,137966.37,8.16,Democratic Republic of the Congo
All ages,Noncommunicable diseases,592937.45,35.06,Democratic Republic of the Congo
All ages,"Communicable, maternal, perinatal and nutritional conditions",10356.83,9.08,Denmark
All ages,Injuries,3671.57,3.22,Denmark
All ages,Noncommunicable diseases,100019.82,87.7,Denmark
All ages,"Communicable, maternal, perinatal and nutritional conditions",7439.02,43.16,Djibouti
All ages,Injuries,1541.52,8.94,Djibouti
All ages,Noncommunicable diseases,8257.13,47.9,Djibouti
All ages,"Communicable, maternal, perinatal and nutritional conditions",29758.77,22.91,Dominican Republic
All ages,Injuries,14242.98,10.97,Dominican Republic
All ages,Noncommunicable diseases,85881.86,66.12,Dominican Republic
All ages,"Communicable, maternal, perinatal and nutritional conditions",66884.95,28.78,Ecuador
All ages,Injuries,20942.71,9.01,Ecuador
All ages,Noncommunicable diseases,144604.31,62.21,Ecuador
All ages,"Communicable, maternal, perinatal and nutritional conditions",377179.99,27.21,Egypt
All ages,Injuries,50250.26,3.62,Egypt
All ages,Noncommunicable diseases,958798.11,69.17,Egypt
All ages,"Communicable, maternal, perinatal and nutritional conditions",20099.11,22.91,El Salvador
All ages,Injuries,17500.12,19.95,El Salvador
All ages,Noncommunicable diseases,50142.39,57.15,El Salvador
All ages,"Communicable, maternal, perinatal and nutritional conditions",19061.91,62.22,Equatorial Guinea
All ages,Injuries,1688.95,5.51,Equatorial Guinea
All ages,Noncommunicable diseases,9887.82,32.27,Equatorial Guinea
All ages,"Communicable, maternal, perinatal and nutritional conditions",20272.9,37.6,Eritrea
All ages,Injuries,5380.26,9.98,Eritrea
All ages,Noncommunicable diseases,28262.2,52.42,Eritrea
All ages,"Communicable, maternal, perinatal and nutritional conditions",4773.08,12.91,Estonia
All ages,Injuries,1567.26,4.24,Estonia
All ages,Noncommunicable diseases,30636.27,82.85,Estonia
All ages,"Communicable, maternal, perinatal and nutritional conditions",16290.83,54.13,Eswatini
All ages,Injuries,2811.18,9.34,Eswatini
All ages,Noncommunicable diseases,10991.54,36.52,Eswatini
All ages,"Communicable, maternal, perinatal and nutritional conditions",659840.82,49.14,Ethiopia
All ages,Injuries,157666.22,11.74,Ethiopia
All ages,Noncommunicable diseases,525186.91,39.11,Ethiopia
All ages,"Communicable, maternal, perinatal and nutritional conditions",4226.68,24.11,Fiji
All ages,Injuries,628.13,3.58,Fiji
All ages,Noncommunicable diseases,12672.63,72.3,Fiji
All ages,"Communicable, maternal, perinatal and nutritional conditions",2952.75,2.56,Finland
All ages,Injuries,5985.8,5.19,Finland
All ages,Noncommunicable diseases,106433.04,92.25,Finland
All ages,"Communicable, maternal, perinatal and nutritional conditions",190372.54,14.68,France
All ages,Injuries,83282.65,6.42,France
All ages,Noncommunicable diseases,1023506.31,78.9,France
All ages,"Communicable, maternal, perinatal and nutritional conditions",20070.22,55.41,Gabon
All ages,Injuries,2339.03,6.46,Gabon
All ages,Noncommunicable diseases,13809.69,38.13,Gabon
All ages,"Communicable, maternal, perinatal and nutritional conditions",17390.21,51.51,Gambia
All ages,Injuries,3019.47,8.94,Gambia
All ages,Noncommunicable diseases,13350.38,39.54,Gambia
All ages,"Communicable, maternal, perinatal and nutritional conditions",35528.29,28.12,Georgia
All ages,Injuries,4079.87,3.23,Georgia
All ages,Noncommunicable diseases,86735.84,68.65,Georgia
All ages,"Communicable, maternal, perinatal and nutritional conditions",222436.1,10.71,Germany
All ages,Injuries,88477.29,4.26,Germany
All ages,Noncommunicable diseases,1766020.89,85.03,Germany
All ages,"Communicable, maternal, perinatal and nutritional conditions",187838.26,43.83,Ghana
All ages,Injuries,37035.22,8.64,Ghana
All ages,Noncommunicable diseases,203669.42,47.53,Ghana
All ages,"Communicable, maternal, perinatal and nutritional conditions",61196.01,19.52,Greece
All ages,Injuries,10371.54,3.31,Greece
All ages,Noncommunicable diseases,241952.57,77.17,Greece
All ages,"Communicable, maternal, perinatal and nutritional conditions",974.65,36.97,Grenada
All ages,Injuries,103.35,3.92,Grenada
All ages,Noncommunicable diseases,1558.22,59.11,Grenada
All ages,"Communicable, maternal, perinatal and nutritional conditions",82635.06,41.59,Guatemala
All ages,Injuries,22499.43,11.32,Guatemala
All ages,Noncommunicable diseases,93564.57,47.09,Guatemala
All ages,"Communicable, maternal, perinatal and nutritional conditions",137945.98,57.55,Guinea
All ages,Injuries,21713.78,9.06,Guinea
All ages,Noncommunicable diseases,80034.79,33.39,Guinea
All ages,"Communicable, maternal, perinatal and nutritional conditions",22978.65,60.38,Guinea-Bissau
All ages,Injuries,3094.57,8.13,Guinea-Bissau
All ages,Noncommunicable diseases,11986.61,31.49,Guinea-Bissau
All ages,"Communicable, maternal, perinatal and nutritional conditions",6792.84,44.02,Guyana
All ages,Injuries,1353.03,8.77,Guyana
All ages,Noncommunicable diseases,7284.95,47.21,Guyana
All ages,"Communicable, maternal, perinatal and nutritional conditions",59257.75,30.2,Haiti
All ages,Injuries,25039.23,12.76,Haiti
All ages,Noncommunicable diseases,111936.18,57.04,Haiti
All ages,"Communicable, maternal, perinatal and nutritional conditions",33635.48,29.43,Honduras
All ages,Injuries,22470.06,19.66,Honduras
All ages,Noncommunicable diseases,58184.82,50.91,Honduras
All ages,"Communicable, maternal, perinatal and nutritional conditions",55085.22,17.92,Hungary
All ages,Injuries,10189.6,3.31,Hungary
All ages,Noncommunicable diseases,242121.52,78.77,Hungary
All ages,"Communicable, maternal, perinatal and nutritional conditions",203.32,4.24,Iceland
All ages,Injuries,277.3,5.78,Iceland
All ages,Noncommunicable diseases,4316.3,89.98,Iceland
All ages,"Communicable, maternal, perinatal and nutritional conditions",10011247.86,40.61,India
All ages,Injuries,1837734.5,7.45,India
All ages,Noncommunicable diseases,12802892.8,51.93,India
All ages,"Communicable, maternal, perinatal and nutritional conditions",1830143.73,38.51,Indonesia
All ages,Injuries,165598.43,3.48,Indonesia
All ages,Noncommunicable diseases,2756309.89,58.0,Indonesia
All ages,"Communicable, maternal, perinatal and nutritional conditions",304086.3,31.74,Iran (Islamic Republic of)
All ages,Injuries,70454.36,7.35,Iran (Islamic Republic of)
All ages,Noncommunicable diseases,583370.73,60.9,Iran (Islamic Republic of)
