year,cause,sex,deaths
2020,Cerebrovascular diseases (I60-I69),persons,9605.0
2020,Chronic ischaemic heart disease (I25),persons,9993.0
2020,Chronic lower respiratory diseases (J40-J47),persons,7232.0
2020,Ischaemic heart diseases (I20-I25),persons,17052.0
2020,Malignant neoplasm of bronchus and lung (C34),persons,8542.0
2020,Malignant neoplasms  (C00-C97),persons,48167.0
2020,Malignant neoplasms of digestive organs  (C15-C26),persons,14225.0
2020,Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),persons,8835.0
2020,"Organic, including symptomatic, mental disorders (F00-F09)",persons,10133.0
2020,Other chronic obstructive pulmonary disease (J44),persons,5846.0
2020,Other degenerative diseases of the nervous system (G30-G32),persons,5493.0
2020,Other external causes of accidental injury (W00-X59),persons,6515.0
2020,Other forms of heart disease (I30-I52),persons,8784.0
2020,Unspecified dementia (F03),persons,8324.0
2021,Acute myocardial infarction (I21),persons,6551.0
2021,Cerebrovascular diseases (I60-I69),persons,9846.0
2021,Chronic ischaemic heart disease (I25),persons,10594.0
2021,Chronic lower respiratory diseases (J40-J47),persons,7853.0
2021,Ischaemic heart diseases (I20-I25),persons,17533.0
2021,Malignant neoplasm of bronchus and lung (C34),persons,8793.0
2021,Malignant neoplasms  (C00-C97),persons,49540.0
2021,Malignant neoplasms of digestive organs  (C15-C26),persons,14511.0
2021,Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),persons,9095.0
2021,"Organic, including symptomatic, mental disorders (F00-F09)",persons,10676.0
2021,Other chronic obstructive pulmonary disease (J44),persons,6408.0
2021,Other degenerative diseases of the nervous system (G30-G32),persons,6184.0
2021,Other external causes of accidental injury (W00-X59),persons,6841.0
2021,Other forms of heart disease (I30-I52),persons,9610.0
2021,Unspecified dementia (F03),persons,8825.0
2022,Acute myocardial infarction (I21),persons,6833.0
2022,Cerebrovascular diseases (I60-I69),persons,9824.0
2022,Chronic ischaemic heart disease (I25),persons,11652.0
2022,Chronic lower respiratory diseases (J40-J47),persons,8682.0
2022,Ischaemic heart diseases (I20-I25),persons,18882.0
2022,Malignant neoplasm of bronchus and lung (C34),persons,9088.0
2022,Malignant neoplasms  (C00-C97),persons,50438.0
2022,Malignant neoplasms of digestive organs  (C15-C26),persons,14620.0
2022,Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),persons,9401.0
2022,"Organic, including symptomatic, mental disorders (F00-F09)",persons,11600.0
2022,Other chronic obstructive pulmonary disease (J44),persons,7028.0
2022,Other degenerative diseases of the nervous system (G30-G32),persons,6441.0
2022,Other external causes of accidental injury (W00-X59),persons,7451.0
2022,Other forms of heart disease (I30-I52),persons,10281.0
2022,Unspecified dementia (F03),persons,9666.0
2023,Acute myocardial infarction (I21),persons,5885.0
2023,Cerebrovascular diseases (I60-I69),persons,9366.0
2023,Chronic ischaemic heart disease (I25),persons,10636.0
2023,Chronic lower respiratory diseases (J40-J47),persons,8422.0
2023,Ischaemic heart diseases (I20-I25),persons,16956.0
2023,Malignant neoplasm of bronchus and lung (C34),persons,9028.0
2023,Malignant neoplasms  (C00-C97),persons,51259.0
2023,Malignant neoplasms of digestive organs  (C15-C26),persons,14902.0
2023,Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),persons,9353.0
2023,"Organic, including symptomatic, mental disorders (F00-F09)",persons,11160.0
2023,Other chronic obstructive pulmonary disease (J44),persons,6765.0
2023,Other degenerative diseases of the nervous system (G30-G32),persons,6326.0
2023,Other external causes of accidental injury (W00-X59),persons,7241.0
2023,Other forms of heart disease (I30-I52),persons,10154.0
2023,Unspecified dementia (F03),persons,9166.0
2024,Acute myocardial infarction (I21),persons,5445.0
2024,Cerebrovascular diseases (I60-I69),persons,9139.0
2024,Chronic ischaemic heart disease (I25),persons,9963.0
2024,Chronic lower respiratory diseases (J40-J47),persons,9124.0
2024,Ischaemic heart diseases (I20-I25),persons,15900.0
2024,Malignant neoplasm of bronchus and lung (C34),persons,9105.0
2024,Malignant neoplasms  (C00-C97),persons,51277.0
2024,Malignant neoplasms of digestive organs  (C15-C26),persons,15033.0
2024,Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),persons,9430.0
2024,"Organic, including symptomatic, mental disorders (F00-F09)",persons,11627.0
2024,Other chronic obstructive pulmonary disease (J44),persons,7525.0
2024,Other degenerative diseases of the nervous system (G30-G32),persons,6887.0
2024,Other external causes of accidental injury (W00-X59),persons,7263.0
2024,Other forms of heart disease (I30-I52),persons,10303.0
2024,Unspecified dementia (F03),persons,9469.0
