country,iso3,sex,major_category,number_of_deaths,percentage_of_total_deaths,Year
Eritrea,ERI,females,Injuries,775.29,3.02,2015
Estonia,EST,persons,"Communicable, maternal, perinatal and nutritional conditions",421.37,2.77,2015
Estonia,EST,persons,Noncommunicable diseases,14145.89,92.88,2015
Estonia,EST,persons,Injuries,663.5,4.36,2015
Estonia,EST,males,"Communicable, maternal, perinatal and nutritional conditions",246.45,1.62,2015
Estonia,EST,males,Noncommunicable diseases,6476.57,42.52,2015
Estonia,EST,males,Injuries,492.64,3.23,2015
Estonia,EST,females,"Communicable, maternal, perinatal and nutritional conditions",174.92,1.15,2015
Estonia,EST,females,Noncommunicable diseases,7669.32,50.35,2015
Estonia,EST,females,Injuries,170.85,1.12,2015
Eswatini,SWZ,persons,"Communicable, maternal, perinatal and nutritional conditions",8996.18,58.5,2015
Eswatini,SWZ,persons,Noncommunicable diseases,5183.86,33.71,2015
Eswatini,SWZ,persons,Injuries,1197.28,7.79,2015
Eswatini,SWZ,males,"Communicable, maternal, perinatal and nutritional conditions",4752.48,30.91,2015
Eswatini,SWZ,males,Noncommunicable diseases,2728.6,17.74,2015
Eswatini,SWZ,males,Injuries,917.54,5.97,2015
Eswatini,SWZ,females,"Communicable, maternal, perinatal and nutritional conditions",4243.7,27.6,2015
Eswatini,SWZ,females,Noncommunicable diseases,2455.26,15.97,2015
Eswatini,SWZ,females,Injuries,279.74,1.82,2015
Ethiopia,ETH,persons,"Communicable, maternal, perinatal and nutritional conditions",338628.64,56.03,2015
Ethiopia,ETH,persons,Noncommunicable diseases,207674.05,34.36,2015
Ethiopia,ETH,persons,Injuries,58065.38,9.61,2015
Ethiopia,ETH,males,"Communicable, maternal, perinatal and nutritional conditions",182599.5,30.21,2015
Ethiopia,ETH,males,Noncommunicable diseases,102765.34,17.0,2015
Ethiopia,ETH,males,Injuries,39820.1,6.59,2015
Ethiopia,ETH,females,"Communicable, maternal, perinatal and nutritional conditions",156029.14,25.82,2015
Ethiopia,ETH,females,Noncommunicable diseases,104908.71,17.36,2015
Ethiopia,ETH,females,Injuries,18245.28,3.02,2015
Fiji,FJI,persons,"Communicable, maternal, perinatal and nutritional conditions",667.82,9.35,2015
Fiji,FJI,persons,Noncommunicable diseases,6091.55,85.26,2015
Fiji,FJI,persons,Injuries,385.43,5.39,2015
Fiji,FJI,males,"Communicable, maternal, perinatal and nutritional conditions",359.02,5.02,2015
Fiji,FJI,males,Noncommunicable diseases,3237.06,45.31,2015
Fiji,FJI,males,Injuries,264.86,3.71,2015
Fiji,FJI,females,"Communicable, maternal, perinatal and nutritional conditions",308.8,4.32,2015
Fiji,FJI,females,Noncommunicable diseases,2854.49,39.95,2015
Fiji,FJI,females,Injuries,120.57,1.69,2015
Finland,FIN,persons,"Communicable, maternal, perinatal and nutritional conditions",706.98,1.35,2015
Finland,FIN,persons,Noncommunicable diseases,48778.12,93.17,2015
Finland,FIN,persons,Injuries,2869.71,5.48,2015
Finland,FIN,males,"Communicable, maternal, perinatal and nutritional conditions",319.49,0.61,2015
Finland,FIN,males,Noncommunicable diseases,23734.99,45.33,2015
Finland,FIN,males,Injuries,1874.17,3.58,2015
Finland,FIN,females,"Communicable, maternal, perinatal and nutritional conditions",387.49,0.74,2015
Finland,FIN,females,Noncommunicable diseases,25043.12,47.83,2015
Finland,FIN,females,Injuries,995.54,1.9,2015
France,FRA,persons,"Communicable, maternal, perinatal and nutritional conditions",39149.04,6.92,2015
France,FRA,persons,Noncommunicable diseases,489122.95,86.44,2015
France,FRA,persons,Injuries,37579.03,6.64,2015
France,FRA,males,"Communicable, maternal, perinatal and nutritional conditions",17205.61,3.04,2015
France,FRA,males,Noncommunicable diseases,241948.72,42.76,2015
France,FRA,males,Injuries,22059.26,3.9,2015
France,FRA,females,"Communicable, maternal, perinatal and nutritional conditions",21943.43,3.88,2015
France,FRA,females,Noncommunicable diseases,247174.23,43.68,2015
France,FRA,females,Injuries,15519.77,2.74,2015
Gabon,GAB,persons,"Communicable, maternal, perinatal and nutritional conditions",7890.98,47.28,2015
Gabon,GAB,persons,Noncommunicable diseases,7621.8,45.67,2015
Gabon,GAB,persons,Injuries,1176.82,7.05,2015
Gabon,GAB,males,"Communicable, maternal, perinatal and nutritional conditions",4256.37,25.5,2015
Gabon,GAB,males,Noncommunicable diseases,4296.99,25.75,2015
Gabon,GAB,males,Injuries,898.6,5.38,2015
Gabon,GAB,females,"Communicable, maternal, perinatal and nutritional conditions",3634.6,21.78,2015
Gabon,GAB,females,Noncommunicable diseases,3324.81,19.92,2015
Gabon,GAB,females,Injuries,278.22,1.67,2015
Gambia,GMB,persons,"Communicable, maternal, perinatal and nutritional conditions",8225.99,53.17,2015
Gambia,GMB,persons,Noncommunicable diseases,5885.58,38.04,2015
Gambia,GMB,persons,Injuries,1359.79,8.79,2015
Gambia,GMB,males,"Communicable, maternal, perinatal and nutritional conditions",4318.19,27.91,2015
Gambia,GMB,males,Noncommunicable diseases,3115.98,20.14,2015
Gambia,GMB,males,Injuries,939.9,6.08,2015
Gambia,GMB,females,"Communicable, maternal, perinatal and nutritional conditions",3907.8,25.26,2015
Gambia,GMB,females,Noncommunicable diseases,2769.6,17.9,2015
Gambia,GMB,females,Injuries,419.89,2.71,2015
Georgia,GEO,persons,"Communicable, maternal, perinatal and nutritional conditions",2650.28,5.25,2015
Georgia,GEO,persons,Noncommunicable diseases,46113.98,91.31,2015
Georgia,GEO,persons,Injuries,1735.71,3.44,2015
Georgia,GEO,males,"Communicable, maternal, perinatal and nutritional conditions",1514.51,3.0,2015
Georgia,GEO,males,Noncommunicable diseases,22642.97,44.84,2015
Georgia,GEO,males,Injuries,1263.39,2.5,2015
Georgia,GEO,females,"Communicable, maternal, perinatal and nutritional conditions",1135.77,2.25,2015
Georgia,GEO,females,Noncommunicable diseases,23471.01,46.48,2015
Georgia,GEO,females,Injuries,472.32,0.94,2015
Germany,DEU,persons,"Communicable, maternal, perinatal and nutritional conditions",46989.85,5.05,2015
Germany,DEU,persons,Noncommunicable diseases,846745.97,91.0,2015
Germany,DEU,persons,Injuries,36783.37,3.95,2015
Germany,DEU,males,"Communicable, maternal, perinatal and nutritional conditions",22721.88,2.44,2015
Germany,DEU,males,Noncommunicable diseases,409115.41,43.97,2015
Germany,DEU,males,Injuries,21591.96,2.32,2015
Germany,DEU,females,"Communicable, maternal, perinatal and nutritional conditions",24267.97,2.61,2015
Germany,DEU,females,Noncommunicable diseases,437630.56,47.03,2015
Germany,DEU,females,Injuries,15191.41,1.63,2015
Ghana,GHA,persons,"Communicable, maternal, perinatal and nutritional conditions",102018.75,48.95,2015
Ghana,GHA,persons,Noncommunicable diseases,90809.05,43.57,2015
Ghana,GHA,persons,Injuries,15571.06,7.47,2015
Ghana,GHA,males,"Communicable, maternal, perinatal and nutritional conditions",56014.16,26.88,2015
Ghana,GHA,males,Noncommunicable diseases,48636.0,23.34,2015
Ghana,GHA,males,Injuries,10617.93,5.1,2015
Ghana,GHA,females,"Communicable, maternal, perinatal and nutritional conditions",46004.58,22.08,2015
Ghana,GHA,females,Noncommunicable diseases,42173.05,20.24,2015
Ghana,GHA,females,Injuries,4953.14,2.38,2015
Greece,GRC,persons,"Communicable, maternal, perinatal and nutritional conditions",13325.22,10.45,2015
Greece,GRC,persons,Noncommunicable diseases,110223.28,86.41,2015
Greece,GRC,persons,Injuries,4004.53,3.14,2015
Greece,GRC,males,"Communicable, maternal, perinatal and nutritional conditions",4801.11,3.76,2015
Greece,GRC,males,Noncommunicable diseases,51079.36,40.05,2015
Greece,GRC,males,Injuries,2599.83,2.04,2015
Greece,GRC,females,"Communicable, maternal, perinatal and nutritional conditions",8524.11,6.68,2015
Greece,GRC,females,Noncommunicable diseases,59143.92,46.37,2015
Greece,GRC,females,Injuries,1404.7,1.1,2015
Grenada,GRD,persons,"Communicable, maternal, perinatal and nutritional conditions",152.52,12.56,2015
Grenada,GRD,persons,Noncommunicable diseases,1003.63,82.62,2015
Grenada,GRD,persons,Injuries,58.54,4.82,2015
Grenada,GRD,males,"Communicable, maternal, perinatal and nutritional conditions",86.97,7.16,2015
Grenada,GRD,males,Noncommunicable diseases,588.4,48.44,2015
Grenada,GRD,males,Injuries,42.9,3.53,2015
Grenada,GRD,females,"Communicable, maternal, perinatal and nutritional conditions",65.54,5.4,2015
Grenada,GRD,females,Noncommunicable diseases,415.23,34.18,2015
Grenada,GRD,females,Injuries,15.63,1.29,2015
Guatemala,GTM,persons,"Communicable, maternal, perinatal and nutritional conditions",18715.78,24.5,2015
Guatemala,GTM,persons,Noncommunicable diseases,45951.2,60.14,2015
Guatemala,GTM,persons,Injuries,11735.24,15.36,2015
Guatemala,GTM,males,"Communicable, maternal, perinatal and nutritional conditions",9962.09,13.04,2015
Guatemala,GTM,males,Noncommunicable diseases,23903.46,31.29,2015
Guatemala,GTM,males,Injuries,9672.27,12.66,2015
Guatemala,GTM,females,"Communicable, maternal, perinatal and nutritional conditions",8753.7,11.46,2015
Guatemala,GTM,females,Noncommunicable diseases,22047.74,28.86,2015
Guatemala,GTM,females,Injuries,2062.97,2.7,2015
Guinea,GIN,persons,"Communicable, maternal, perinatal and nutritional conditions",72266.86,60.87,2015
Guinea,GIN,persons,Noncommunicable diseases,37910.84,31.93,2015
Guinea,GIN,persons,Injuries,8553.17,7.2,2015
Guinea,GIN,males,"Communicable, maternal, perinatal and nutritional conditions",37055.37,31.21,2015
Guinea,GIN,males,Noncommunicable diseases,17450.0,14.7,2015
Guinea,GIN,males,Injuries,5482.09,4.62,2015
Guinea,GIN,females,"Communicable, maternal, perinatal and nutritional conditions",35211.49,29.66,2015
Guinea,GIN,females,Noncommunicable diseases,20460.84,17.23,2015
Guinea,GIN,females,Injuries,3071.08,2.59,2015
Guinea-Bissau,GNB,persons,"Communicable, maternal, perinatal and nutritional conditions",11154.59,62.02,2015
Guinea-Bissau,GNB,persons,Noncommunicable diseases,5453.8,30.33,2015
Guinea-Bissau,GNB,persons,Injuries,1375.97,7.65,2015
Guinea-Bissau,GNB,males,"Communicable, maternal, perinatal and nutritional conditions",5828.43,32.41,2015
Guinea-Bissau,GNB,males,Noncommunicable diseases,2732.18,15.19,2015
Guinea-Bissau,GNB,males,Injuries,927.2,5.16,2015
Guinea-Bissau,GNB,females,"Communicable, maternal, perinatal and nutritional conditions",5326.17,29.62,2015
Guinea-Bissau,GNB,females,Noncommunicable diseases,2721.62,15.13,2015
Guinea-Bissau,GNB,females,Injuries,448.78,2.5,2015
Guyana,GUY,persons,"Communicable, maternal, perinatal and nutritional conditions",1187.63,19.41,2015
Guyana,GUY,persons,Noncommunicable diseases,4091.72,66.86,2015
Guyana,GUY,persons,Injuries,840.49,13.73,2015
Guyana,GUY,males,"Communicable, maternal, perinatal and nutritional conditions",666.58,10.89,2015
Guyana,GUY,males,Noncommunicable diseases,2126.81,34.75,2015
Guyana,GUY,males,Injuries,652.51,10.66,2015
Guyana,GUY,females,"Communicable, maternal, perinatal and nutritional conditions",521.05,8.51,2015
Guyana,GUY,females,Noncommunicable diseases,1964.91,32.11,2015
Guyana,GUY,females,Injuries,187.98,3.07,2015
Haiti,HTI,persons,"Communicable, maternal, perinatal and nutritional conditions",27659.15,31.22,2015
Haiti,HTI,persons,Noncommunicable diseases,51910.16,58.6,2015
Haiti,HTI,persons,Injuries,9013.11,10.17,2015
Haiti,HTI,males,"Communicable, maternal, perinatal and nutritional conditions",13889.44,15.68,2015
Haiti,HTI,males,Noncommunicable diseases,22028.62,24.87,2015
Haiti,HTI,males,Injuries,6180.18,6.98,2015
Haiti,HTI,females,"Communicable, maternal, perinatal and nutritional conditions",13769.71,15.54,2015
Haiti,HTI,females,Noncommunicable diseases,29881.54,33.73,2015
Haiti,HTI,females,Injuries,2832.92,3.2,2015
Honduras,HND,persons,"Communicable, maternal, perinatal and nutritional conditions",7231.14,15.18,2015
Honduras,HND,persons,Noncommunicable diseases,29879.15,62.73,2015
Honduras,HND,persons,Injuries,10523.76,22.09,2015
Honduras,HND,males,"Communicable, maternal, perinatal and nutritional conditions",3878.13,8.14,2015
Honduras,HND,males,Noncommunicable diseases,14949.43,31.38,2015
Honduras,HND,males,Injuries,7769.68,16.31,2015
Honduras,HND,females,"Communicable, maternal, perinatal and nutritional conditions",3353.01,7.04,2015
Honduras,HND,females,Noncommunicable diseases,14929.72,31.34,2015
Honduras,HND,females,Injuries,2754.08,5.78,2015
Hungary,HUN,persons,"Communicable, maternal, perinatal and nutritional conditions",2749.82,2.1,2015
Hungary,HUN,persons,Noncommunicable diseases,122483.04,93.37,2015
Hungary,HUN,persons,Injuries,5945.49,4.53,2015
Hungary,HUN,males,"Communicable, maternal, perinatal and nutritional conditions",1310.63,1.0,2015
Hungary,HUN,males,Noncommunicable diseases,58165.23,44.34,2015
Hungary,HUN,males,Injuries,3877.44,2.96,2015
Hungary,HUN,females,"Communicable, maternal, perinatal and nutritional conditions",1439.19,1.1,2015
Hungary,HUN,females,Noncommunicable diseases,64317.82,49.03,2015
Hungary,HUN,females,Injuries,2068.05,1.58,2015
Iceland,ISL,persons,"Communicable, maternal, perinatal and nutritional conditions",99.28,4.57,2015
Iceland,ISL,persons,Noncommunicable diseases,1949.08,89.66,2015
Iceland,ISL,persons,Injuries,125.6,5.78,2015
Iceland,ISL,males,"Communicable, maternal, perinatal and nutritional conditions",43.09,1.98,2015
Iceland,ISL,males,Noncommunicable diseases,973.66,44.79,2015
Iceland,ISL,males,Injuries,81.43,3.75,2015
Iceland,ISL,females,"Communicable, maternal, perinatal and nutritional conditions",56.19,2.58,2015
Iceland,ISL,females,Noncommunicable diseases,975.42,44.87,2015
Iceland,ISL,females,Injuries,44.16,2.03,2015
India,IND,persons,"Communicable, maternal, perinatal and nutritional conditions",2449970.06,27.3,2015
India,IND,persons,Noncommunicable diseases,5576891.99,62.14,2015
India,IND,persons,Injuries,948130.64,10.56,2015
India,IND,males,"Communicable, maternal, perinatal and nutritional conditions",1244843.2,13.87,2015
India,IND,males,Noncommunicable diseases,3051006.67,33.99,2015
India,IND,males,Injuries,589481.51,6.57,2015
India,IND,females,"Communicable, maternal, perinatal and nutritional conditions",1205126.86,13.43,2015
India,IND,females,Noncommunicable diseases,2525885.32,28.14,2015
India,IND,females,Injuries,358649.12,4.0,2015
Indonesia,IDN,persons,"Communicable, maternal, perinatal and nutritional conditions",360808.3,19.83,2015
Indonesia,IDN,persons,Noncommunicable diseases,1365828.83,75.05,2015
Indonesia,IDN,persons,Injuries,93149.86,5.12,2015
Indonesia,IDN,males,"Communicable, maternal, perinatal and nutritional conditions",197076.2,10.83,2015
Indonesia,IDN,males,Noncommunicable diseases,678064.86,37.26,2015
Indonesia,IDN,males,Injuries,63070.79,3.47,2015
Indonesia,IDN,females,"Communicable, maternal, perinatal and nutritional conditions",163732.1,9.0,2015
Indonesia,IDN,females,Noncommunicable diseases,687763.97,37.79,2015
Indonesia,IDN,females,Injuries,30079.07,1.65,2015
Iran (Islamic Republic of),IRN,persons,"Communicable, maternal, perinatal and nutritional conditions",26927.19,8.0,2015
Iran (Islamic Republic of),IRN,persons,Noncommunicable diseases,272903.0,81.06,2015
Iran (Islamic Republic of),IRN,persons,Injuries,36837.56,10.94,2015
Iran (Islamic Republic of),IRN,males,"Communicable, maternal, perinatal and nutritional conditions",15007.94,4.46,2015
Iran (Islamic Republic of),IRN,males,Noncommunicable diseases,142006.13,42.18,2015
Iran (Islamic Republic of),IRN,males,Injuries,27674.25,8.22,2015
Iran (Islamic Republic of),IRN,females,"Communicable, maternal, perinatal and nutritional conditions",11919.25,3.54,2015
Iran (Islamic Republic of),IRN,females,Noncommunicable diseases,130896.86,38.88,2015
Iran (Islamic Republic of),IRN,females,Injuries,9163.31,2.72,2015
Iraq,IRQ,persons,"Communicable, maternal, perinatal and nutritional conditions",30190.47,17.49,2015
Iraq,IRQ,persons,Noncommunicable diseases,89794.78,52.02,2015
Iraq,IRQ,persons,Injuries,52632.68,30.49,2015
Iraq,IRQ,males,"Communicable, maternal, perinatal and nutritional conditions",16270.01,9.43,2015
Iraq,IRQ,males,Noncommunicable diseases,44016.47,25.5,2015
Iraq,IRQ,males,Injuries,40848.64,23.66,2015
Iraq,IRQ,females,"Communicable, maternal, perinatal and nutritional conditions",13920.46,8.06,2015
Iraq,IRQ,females,Noncommunicable diseases,45778.31,26.52,2015
Iraq,IRQ,females,Injuries,11784.04,6.83,2015
Ireland,IRL,persons,"Communicable, maternal, perinatal and nutritional conditions",1936.73,6.31,2015
Ireland,IRL,persons,Noncommunicable diseases,27617.79,89.92,2015
Ireland,IRL,persons,Injuries,1159.63,3.78,2015
Ireland,IRL,males,"Communicable, maternal, perinatal and nutritional conditions",844.41,2.75,2015
Ireland,IRL,males,Noncommunicable diseases,13908.95,45.29,2015
Ireland,IRL,males,Injuries,798.29,2.6,2015
Ireland,IRL,females,"Communicable, maternal, perinatal and nutritional conditions",1092.32,3.56,2015
Ireland,IRL,females,Noncommunicable diseases,13708.84,44.63,2015
Ireland,IRL,females,Injuries,361.34,1.18,2015
Israel,ISR,persons,"Communicable, maternal, perinatal and nutritional conditions",4502.23,10.39,2015
Israel,ISR,persons,Noncommunicable diseases,36982.91,85.33,2015
Israel,ISR,persons,Injuries,1857.66,4.29,2015
Israel,ISR,males,"Communicable, maternal, perinatal and nutritional conditions",2177.45,5.02,2015
Israel,ISR,males,Noncommunicable diseases,18493.2,42.67,2015
Israel,ISR,males,Injuries,1223.22,2.82,2015
Israel,ISR,females,"Communicable, maternal, perinatal and nutritional conditions",2324.78,5.36,2015
Israel,ISR,females,Noncommunicable diseases,18489.72,42.66,2015
Israel,ISR,females,Injuries,634.44,1.46,2015
Italy,ITA,persons,"Communicable, maternal, perinatal and nutritional conditions",33530.33,5.17,2015
Italy,ITA,persons,Noncommunicable diseases,590288.03,91.1,2015
Italy,ITA,persons,Injuries,24130.83,3.72,2015
Italy,ITA,males,"Communicable, maternal, perinatal and nutritional conditions",15272.84,2.36,2015
Italy,ITA,males,Noncommunicable diseases,279481.02,43.13,2015
Italy,ITA,males,Injuries,13695.63,2.11,2015
Italy,ITA,females,"Communicable, maternal, perinatal and nutritional conditions",18257.48,2.82,2015
Italy,ITA,females,Noncommunicable diseases,310807.01,47.97,2015
Italy,ITA,females,Injuries,10435.2,1.61,2015
Jamaica,JAM,persons,"Communicable, maternal, perinatal and nutritional conditions",2205.18,11.4,2015
Jamaica,JAM,persons,Noncommunicable diseases,14928.74,77.2,2015
Jamaica,JAM,persons,Injuries,2204.99,11.4,2015
Jamaica,JAM,males,"Communicable, maternal, perinatal and nutritional conditions",1257.79,6.5,2015
Jamaica,JAM,males,Noncommunicable diseases,7515.64,38.86,2015
Jamaica,JAM,males,Injuries,1734.37,8.97,2015
Jamaica,JAM,females,"Communicable, maternal, perinatal and nutritional conditions",947.39,4.9,2015
Jamaica,JAM,females,Noncommunicable diseases,7413.1,38.33,2015
Jamaica,JAM,females,Injuries,470.62,2.43,2015
Japan,JPN,persons,"Communicable, maternal, perinatal and nutritional conditions",168215.96,13.58,2015
Japan,JPN,persons,Noncommunicable diseases,1003909.57,81.06,2015
Japan,JPN,persons,Injuries,66357.76,5.36,2015
Japan,JPN,males,"Communicable, maternal, perinatal and nutritional conditions",86278.56,6.97,2015
Japan,JPN,males,Noncommunicable diseases,519463.21,41.94,2015
Japan,JPN,males,Injuries,41268.63,3.33,2015
Japan,JPN,females,"Communicable, maternal, perinatal and nutritional conditions",81937.4,6.62,2015
Japan,JPN,females,Noncommunicable diseases,484446.36,39.12,2015
Japan,JPN,females,Injuries,25089.12,2.03,2015
Jordan,JOR,persons,"Communicable, maternal, perinatal and nutritional conditions",2928.55,12.59,2015
Jordan,JOR,persons,Noncommunicable diseases,17861.1,76.78,2015
Jordan,JOR,persons,Injuries,2472.19,10.63,2015
Jordan,JOR,males,"Communicable, maternal, perinatal and nutritional conditions",1564.14,6.72,2015
Jordan,JOR,males,Noncommunicable diseases,8846.47,38.03,2015
Jordan,JOR,males,Injuries,1832.11,7.88,2015
Jordan,JOR,females,"Communicable, maternal, perinatal and nutritional conditions",1364.42,5.87,2015
Jordan,JOR,females,Noncommunicable diseases,9014.62,38.75,2015
Jordan,JOR,females,Injuries,640.07,2.75,2015
Kazakhstan,KAZ,persons,"Communicable, maternal, perinatal and nutritional conditions",7200.27,5.32,2015
Kazakhstan,KAZ,persons,Noncommunicable diseases,115666.87,85.39,2015
Kazakhstan,KAZ,persons,Injuries,12597.48,9.3,2015
Kazakhstan,KAZ,males,"Communicable, maternal, perinatal and nutritional conditions",4276.98,3.16,2015
Kazakhstan,KAZ,males,Noncommunicable diseases,57167.11,42.2,2015
Kazakhstan,KAZ,males,Injuries,9851.1,7.27,2015
Kazakhstan,KAZ,females,"Communicable, maternal, perinatal and nutritional conditions",2923.29,2.16,2015
Kazakhstan,KAZ,females,Noncommunicable diseases,58499.76,43.18,2015
Kazakhstan,KAZ,females,Injuries,2746.38,2.03,2015
Kenya,KEN,persons,"Communicable, maternal, perinatal and nutritional conditions",176873.61,58.2,2015
Kenya,KEN,persons,Noncommunicable diseases,101136.83,33.28,2015
Kenya,KEN,persons,Injuries,25901.46,8.52,2015
Kenya,KEN,males,"Communicable, maternal, perinatal and nutritional conditions",103917.09,34.19,2015
Kenya,KEN,males,Noncommunicable diseases,43183.89,14.21,2015
Kenya,KEN,males,Injuries,17092.28,5.62,2015
Kenya,KEN,females,"Communicable, maternal, perinatal and nutritional conditions",72956.52,24.01,2015
Kenya,KEN,females,Noncommunicable diseases,57952.94,19.07,2015
Kenya,KEN,females,Injuries,8809.18,2.9,2015
Kiribati,KIR,persons,"Communicable, maternal, perinatal and nutritional conditions",298.96,28.55,2015
Kiribati,KIR,persons,Noncommunicable diseases,692.29,66.11,2015
Kiribati,KIR,persons,Injuries,55.86,5.33,2015
Kiribati,KIR,males,"Communicable, maternal, perinatal and nutritional conditions",155.1,14.81,2015
Kiribati,KIR,males,Noncommunicable diseases,364.81,34.84,2015
Kiribati,KIR,males,Injuries,41.11,3.93,2015
Kiribati,KIR,females,"Communicable, maternal, perinatal and nutritional conditions",143.85,13.74,2015
Kiribati,KIR,females,Noncommunicable diseases,327.49,31.28,2015
Kiribati,KIR,females,Injuries,14.74,1.41,2015
Kuwait,KWT,persons,"Communicable, maternal, perinatal and nutritional conditions",649.18,9.39,2015
Kuwait,KWT,persons,Noncommunicable diseases,5278.32,76.39,2015
Kuwait,KWT,persons,Injuries,982.37,14.22,2015
Kuwait,KWT,males,"Communicable, maternal, perinatal and nutritional conditions",410.01,5.93,2015
Kuwait,KWT,males,Noncommunicable diseases,3758.27,54.39,2015
Kuwait,KWT,males,Injuries,857.02,12.4,2015
Kuwait,KWT,females,"Communicable, maternal, perinatal and nutritional conditions",239.17,3.46,2015
Kuwait,KWT,females,Noncommunicable diseases,1520.05,22.0,2015
Kuwait,KWT,females,Injuries,125.35,1.81,2015
Kyrgyzstan,KGZ,persons,"Communicable, maternal, perinatal and nutritional conditions",3854.57,10.22,2015
Kyrgyzstan,KGZ,persons,Noncommunicable diseases,30795.02,81.68,2015
Kyrgyzstan,KGZ,persons,Injuries,3054.72,8.1,2015
Kyrgyzstan,KGZ,males,"Communicable, maternal, perinatal and nutritional conditions",2292.44,6.08,2015
Kyrgyzstan,KGZ,males,Noncommunicable diseases,17841.35,47.32,2015
Kyrgyzstan,KGZ,males,Injuries,2360.8,6.26,2015
Kyrgyzstan,KGZ,females,"Communicable, maternal, perinatal and nutritional conditions",1562.13,4.14,2015
Kyrgyzstan,KGZ,females,Noncommunicable diseases,12953.67,34.36,2015
Kyrgyzstan,KGZ,females,Injuries,693.92,1.84,2015
Lao People's Democratic Republic,LAO,persons,"Communicable, maternal, perinatal and nutritional conditions",14387.13,30.0,2015
Lao People's Democratic Republic,LAO,persons,Noncommunicable diseases,29341.77,61.19,2015
Lao People's Democratic Republic,LAO,persons,Injuries,4223.33,8.81,2015
Lao People's Democratic Republic,LAO,males,"Communicable, maternal, perinatal and nutritional conditions",7766.47,16.2,2015
Lao People's Democratic Republic,LAO,males,Noncommunicable diseases,15711.27,32.76,2015
Lao People's Democratic Republic,LAO,males,Injuries,2937.86,6.13,2015
Lao People's Democratic Republic,LAO,females,"Communicable, maternal, perinatal and nutritional conditions",6620.66,13.81,2015
Lao People's Democratic Republic,LAO,females,Noncommunicable diseases,13630.5,28.43,2015
Lao People's Democratic Republic,LAO,females,Injuries,1285.47,2.68,2015
Latvia,LVA,persons,"Communicable, maternal, perinatal and nutritional conditions",767.24,2.72,2015
Latvia,LVA,persons,Noncommunicable diseases,25839.51,91.52,2015
Latvia,LVA,persons,Injuries,1626.0,5.76,2015
Latvia,LVA,males,"Communicable, maternal, perinatal and nutritional conditions",468.34,1.66,2015
Latvia,LVA,males,Noncommunicable diseases,11496.79,40.72,2015
Latvia,LVA,males,Injuries,1207.14,4.28,2015
Latvia,LVA,females,"Communicable, maternal, perinatal and nutritional conditions",298.89,1.06,2015
Latvia,LVA,females,Noncommunicable diseases,14342.72,50.8,2015
Latvia,LVA,females,Injuries,418.86,1.48,2015
Lebanon,LBN,persons,"Communicable, maternal, perinatal and nutritional conditions",2692.49,9.5,2015
Lebanon,LBN,persons,Noncommunicable diseases,22978.07,81.04,2015
Lebanon,LBN,persons,Injuries,2682.47,9.46,2015
Lebanon,LBN,males,"Communicable, maternal, perinatal and nutritional conditions",1443.03,5.09,2015
Lebanon,LBN,males,Noncommunicable diseases,11718.22,41.33,2015
Lebanon,LBN,males,Injuries,1975.2,6.97,2015
Lebanon,LBN,females,"Communicable, maternal, perinatal and nutritional conditions",1249.46,4.41,2015
Lebanon,LBN,females,Noncommunicable diseases,11259.85,39.71,2015
Lebanon,LBN,females,Injuries,707.27,2.49,2015
Lesotho,LSO,persons,"Communicable, maternal, perinatal and nutritional conditions",20321.7,57.78,2015
Lesotho,LSO,persons,Noncommunicable diseases,11877.32,33.77,2015
Lesotho,LSO,persons,Injuries,2969.34,8.44,2015
Lesotho,LSO,males,"Communicable, maternal, perinatal and nutritional conditions",11012.68,31.31,2015
Lesotho,LSO,males,Noncommunicable diseases,5000.92,14.22,2015
Lesotho,LSO,males,Injuries,2119.03,6.03,2015
Lesotho,LSO,females,"Communicable, maternal, perinatal and nutritional conditions",9309.03,26.47,2015
Lesotho,LSO,females,Noncommunicable diseases,6876.39,19.55,2015
Lesotho,LSO,females,Injuries,850.31,2.42,2015
Liberia,LBR,persons,"Communicable, maternal, perinatal and nutritional conditions",26188.56,62.93,2015
Liberia,LBR,persons,Noncommunicable diseases,12466.83,29.96,2015
Liberia,LBR,persons,Injuries,2961.59,7.12,2015
Liberia,LBR,males,"Communicable, maternal, perinatal and nutritional conditions",13070.48,31.41,2015
Liberia,LBR,males,Noncommunicable diseases,5837.36,14.03,2015
Liberia,LBR,males,Injuries,1961.4,4.71,2015
Liberia,LBR,females,"Communicable, maternal, perinatal and nutritional conditions",13118.09,31.52,2015
Liberia,LBR,females,Noncommunicable diseases,6629.48,15.93,2015
Liberia,LBR,females,Injuries,1000.18,2.4,2015
Libya,LBY,persons,"Communicable, maternal, perinatal and nutritional conditions",2741.29,8.51,2015
Libya,LBY,persons,Noncommunicable diseases,21922.77,68.07,2015
Libya,LBY,persons,Injuries,7540.0,23.41,2015
Libya,LBY,males,"Communicable, maternal, perinatal and nutritional conditions",1448.47,4.5,2015
Libya,LBY,males,Noncommunicable diseases,11498.48,35.71,2015
Libya,LBY,males,Injuries,5801.75,18.02,2015
Libya,LBY,females,"Communicable, maternal, perinatal and nutritional conditions",1292.81,4.01,2015
Libya,LBY,females,Noncommunicable diseases,10424.29,32.37,2015
Libya,LBY,females,Injuries,1738.25,5.4,2015
