country,iso3,sex,major_category,number_of_deaths,percentage_of_total_deaths
Democratic People's Republic of Korea,PRK,females,"Communicable, maternal, perinatal and nutritional conditions",13887.93,5.23
Democratic People's Republic of Korea,PRK,females,Noncommunicable diseases,107864.6,40.65
Democratic People's Republic of Korea,PRK,females,Injuries,6097.44,2.3
Democratic Republic of the Congo,COD,persons,"Communicable, maternal, perinatal and nutritional conditions",480053.43,55.96
Democratic Republic of the Congo,COD,persons,Noncommunicable diseases,296468.72,34.56
Democratic Republic of the Congo,COD,persons,Injuries,68983.18,8.04
Democratic Republic of the Congo,COD,males,"Communicable, maternal, perinatal and nutritional conditions",257313.97,30.0
Democratic Republic of the Congo,COD,males,Noncommunicable diseases,150357.48,17.53
Democratic Republic of the Congo,COD,males,Injuries,48401.2,5.64
Democratic Republic of the Congo,COD,females,"Communicable, maternal, perinatal and nutritional conditions",222739.46,25.97
Democratic Republic of the Congo,COD,females,Noncommunicable diseases,146111.25,17.03
Democratic Republic of the Congo,COD,females,Injuries,20581.98,2.4
Denmark,DNK,persons,"Communicable, maternal, perinatal and nutritional conditions",5178.41,9.08
Denmark,DNK,persons,Noncommunicable diseases,50009.91,87.7
Denmark,DNK,persons,Injuries,1835.79,3.22
Denmark,DNK,males,"Communicable, maternal, perinatal and nutritional conditions",2754.36,4.83
Denmark,DNK,males,Noncommunicable diseases,25261.64,44.3
Denmark,DNK,males,Injuries,1078.7,1.89
Denmark,DNK,females,"Communicable, maternal, perinatal and nutritional conditions",2424.05,4.25
Denmark,DNK,females,Noncommunicable diseases,24748.27,43.4
Denmark,DNK,females,Injuries,757.08,1.33
Djibouti,DJI,persons,"Communicable, maternal, perinatal and nutritional conditions",3719.51,41.94
Djibouti,DJI,persons,Noncommunicable diseases,4128.56,46.55
Djibouti,DJI,persons,Injuries,770.76,8.69
Djibouti,DJI,males,"Communicable, maternal, perinatal and nutritional conditions",1976.77,22.29
Djibouti,DJI,males,Noncommunicable diseases,2059.15,23.22
Djibouti,DJI,males,Injuries,502.37,5.66
Djibouti,DJI,females,"Communicable, maternal, perinatal and nutritional conditions",1742.74,19.65
Djibouti,DJI,females,Noncommunicable diseases,2069.41,23.33
Djibouti,DJI,females,Injuries,268.39,3.03
Dominican Republic,DOM,persons,"Communicable, maternal, perinatal and nutritional conditions",14879.38,22.08
Dominican Republic,DOM,persons,Noncommunicable diseases,42940.93,63.72
Dominican Republic,DOM,persons,Injuries,7121.49,10.57
Dominican Republic,DOM,males,"Communicable, maternal, perinatal and nutritional conditions",8247.35,12.24
Dominican Republic,DOM,males,Noncommunicable diseases,22153.41,32.87
Dominican Republic,DOM,males,Injuries,5833.02,8.66
Dominican Republic,DOM,females,"Communicable, maternal, perinatal and nutritional conditions",6632.03,9.84
Dominican Republic,DOM,females,Noncommunicable diseases,20787.52,30.85
Dominican Republic,DOM,females,Injuries,1288.47,1.91
Ecuador,ECU,persons,"Communicable, maternal, perinatal and nutritional conditions",33442.47,28.78
Ecuador,ECU,persons,Noncommunicable diseases,72302.15,62.21
Ecuador,ECU,persons,Injuries,10471.36,9.01
Ecuador,ECU,males,"Communicable, maternal, perinatal and nutritional conditions",19863.02,17.09
Ecuador,ECU,males,Noncommunicable diseases,37659.69,32.4
Ecuador,ECU,males,Injuries,8429.67,7.25
Ecuador,ECU,females,"Communicable, maternal, perinatal and nutritional conditions",13579.46,11.68
Ecuador,ECU,females,Noncommunicable diseases,34642.46,29.81
Ecuador,ECU,females,Injuries,2041.68,1.76
Egypt,EGY,persons,"Communicable, maternal, perinatal and nutritional conditions",188589.99,25.26
Egypt,EGY,persons,Noncommunicable diseases,479399.05,64.22
Egypt,EGY,persons,Injuries,25125.13,3.37
Egypt,EGY,males,"Communicable, maternal, perinatal and nutritional conditions",108297.62,14.51
Egypt,EGY,males,Noncommunicable diseases,256724.6,34.39
Egypt,EGY,males,Injuries,18954.93,2.54
Egypt,EGY,females,"Communicable, maternal, perinatal and nutritional conditions",80292.38,10.76
Egypt,EGY,females,Noncommunicable diseases,222674.45,29.83
Egypt,EGY,females,Injuries,6170.2,0.83
El Salvador,SLV,persons,"Communicable, maternal, perinatal and nutritional conditions",10049.55,21.62
El Salvador,SLV,persons,Noncommunicable diseases,25071.2,53.92
El Salvador,SLV,persons,Injuries,8750.06,18.82
El Salvador,SLV,males,"Communicable, maternal, perinatal and nutritional conditions",5663.07,12.18
El Salvador,SLV,males,Noncommunicable diseases,12600.46,27.1
El Salvador,SLV,males,Injuries,6122.38,13.17
El Salvador,SLV,females,"Communicable, maternal, perinatal and nutritional conditions",4386.48,9.43
El Salvador,SLV,females,Noncommunicable diseases,12470.73,26.82
El Salvador,SLV,females,Injuries,2627.68,5.65
Equatorial Guinea,GNQ,persons,"Communicable, maternal, perinatal and nutritional conditions",9530.95,61.4
Equatorial Guinea,GNQ,persons,Noncommunicable diseases,4943.91,31.85
Equatorial Guinea,GNQ,persons,Injuries,844.48,5.44
Equatorial Guinea,GNQ,males,"Communicable, maternal, perinatal and nutritional conditions",5384.1,34.69
Equatorial Guinea,GNQ,males,Noncommunicable diseases,2503.05,16.13
Equatorial Guinea,GNQ,males,Injuries,600.6,3.87
Equatorial Guinea,GNQ,females,"Communicable, maternal, perinatal and nutritional conditions",4146.86,26.72
Equatorial Guinea,GNQ,females,Noncommunicable diseases,2440.86,15.73
Equatorial Guinea,GNQ,females,Injuries,243.87,1.57
Eritrea,ERI,persons,"Communicable, maternal, perinatal and nutritional conditions",10136.45,36.99
Eritrea,ERI,persons,Noncommunicable diseases,14131.1,51.56
Eritrea,ERI,persons,Injuries,2690.13,9.82
Eritrea,ERI,males,"Communicable, maternal, perinatal and nutritional conditions",5556.37,20.27
Eritrea,ERI,males,Noncommunicable diseases,6897.05,25.17
Eritrea,ERI,males,Injuries,1847.97,6.74
Eritrea,ERI,females,"Communicable, maternal, perinatal and nutritional conditions",4580.08,16.71
Eritrea,ERI,females,Noncommunicable diseases,7234.05,26.4
Eritrea,ERI,females,Injuries,842.16,3.07
Estonia,EST,persons,"Communicable, maternal, perinatal and nutritional conditions",2386.54,12.91
Estonia,EST,persons,Noncommunicable diseases,15318.13,82.85
Estonia,EST,persons,Injuries,783.63,4.24
Estonia,EST,males,"Communicable, maternal, perinatal and nutritional conditions",1206.98,6.53
Estonia,EST,males,Noncommunicable diseases,7026.98,38.01
Estonia,EST,males,Injuries,528.29,2.86
Estonia,EST,females,"Communicable, maternal, perinatal and nutritional conditions",1179.56,6.38
Estonia,EST,females,Noncommunicable diseases,8291.16,44.85
Estonia,EST,females,Injuries,255.34,1.38
Eswatini,SWZ,persons,"Communicable, maternal, perinatal and nutritional conditions",8145.41,51.61
Eswatini,SWZ,persons,Noncommunicable diseases,5495.77,34.82
Eswatini,SWZ,persons,Injuries,1405.59,8.91
Eswatini,SWZ,males,"Communicable, maternal, perinatal and nutritional conditions",4302.19,27.26
Eswatini,SWZ,males,Noncommunicable diseases,2775.36,17.58
Eswatini,SWZ,males,Injuries,1066.31,6.76
Eswatini,SWZ,females,"Communicable, maternal, perinatal and nutritional conditions",3843.23,24.35
Eswatini,SWZ,females,Noncommunicable diseases,2720.41,17.24
Eswatini,SWZ,females,Injuries,339.28,2.15
Ethiopia,ETH,persons,"Communicable, maternal, perinatal and nutritional conditions",329920.41,48.1
Ethiopia,ETH,persons,Noncommunicable diseases,262593.46,38.28
Ethiopia,ETH,persons,Injuries,78833.11,11.49
Ethiopia,ETH,males,"Communicable, maternal, perinatal and nutritional conditions",181209.98,26.42
Ethiopia,ETH,males,Noncommunicable diseases,125431.38,18.29
Ethiopia,ETH,males,Injuries,54975.38,8.01
Ethiopia,ETH,females,"Communicable, maternal, perinatal and nutritional conditions",148710.43,21.68
Ethiopia,ETH,females,Noncommunicable diseases,137162.08,20.0
Ethiopia,ETH,females,Injuries,23857.73,3.48
Fiji,FJI,persons,"Communicable, maternal, perinatal and nutritional conditions",2113.34,22.45
Fiji,FJI,persons,Noncommunicable diseases,6336.31,67.31
Fiji,FJI,persons,Injuries,314.07,3.34
Fiji,FJI,males,"Communicable, maternal, perinatal and nutritional conditions",1166.99,12.4
Fiji,FJI,males,Noncommunicable diseases,3235.08,34.36
Fiji,FJI,males,Injuries,208.22,2.21
Fiji,FJI,females,"Communicable, maternal, perinatal and nutritional conditions",946.34,10.05
Fiji,FJI,females,Noncommunicable diseases,3101.23,32.94
Fiji,FJI,females,Injuries,105.84,1.12
Finland,FIN,persons,"Communicable, maternal, perinatal and nutritional conditions",1476.38,2.56
Finland,FIN,persons,Noncommunicable diseases,53216.52,92.25
Finland,FIN,persons,Injuries,2992.9,5.19
Finland,FIN,males,"Communicable, maternal, perinatal and nutritional conditions",776.28,1.35
Finland,FIN,males,Noncommunicable diseases,26499.82,45.94
Finland,FIN,males,Injuries,1907.12,3.31
Finland,FIN,females,"Communicable, maternal, perinatal and nutritional conditions",700.09,1.21
Finland,FIN,females,Noncommunicable diseases,26716.7,46.31
Finland,FIN,females,Injuries,1085.78,1.88
France,FRA,persons,"Communicable, maternal, perinatal and nutritional conditions",95186.27,14.68
France,FRA,persons,Noncommunicable diseases,511753.16,78.9
France,FRA,persons,Injuries,41641.32,6.42
France,FRA,males,"Communicable, maternal, perinatal and nutritional conditions",46230.07,7.13
France,FRA,males,Noncommunicable diseases,256714.87,39.58
France,FRA,males,Injuries,24069.92,3.71
France,FRA,females,"Communicable, maternal, perinatal and nutritional conditions",48956.2,7.55
France,FRA,females,Noncommunicable diseases,255038.28,39.32
France,FRA,females,Injuries,17571.4,2.71
Gabon,GAB,persons,"Communicable, maternal, perinatal and nutritional conditions",10035.11,54.62
Gabon,GAB,persons,Noncommunicable diseases,6904.85,37.59
Gabon,GAB,persons,Injuries,1169.52,6.37
Gabon,GAB,males,"Communicable, maternal, perinatal and nutritional conditions",5743.58,31.26
Gabon,GAB,males,Noncommunicable diseases,3658.34,19.91
Gabon,GAB,males,Injuries,881.26,4.8
Gabon,GAB,females,"Communicable, maternal, perinatal and nutritional conditions",4291.53,23.36
Gabon,GAB,females,Noncommunicable diseases,3246.51,17.67
Gabon,GAB,females,Injuries,288.26,1.57
Gambia,GMB,persons,"Communicable, maternal, perinatal and nutritional conditions",8695.1,50.22
Gambia,GMB,persons,Noncommunicable diseases,6675.19,38.55
Gambia,GMB,persons,Injuries,1509.74,8.72
Gambia,GMB,males,"Communicable, maternal, perinatal and nutritional conditions",4736.96,27.36
Gambia,GMB,males,Noncommunicable diseases,3291.17,19.01
Gambia,GMB,males,Injuries,1047.5,6.05
Gambia,GMB,females,"Communicable, maternal, perinatal and nutritional conditions",3958.14,22.86
Gambia,GMB,females,Noncommunicable diseases,3384.01,19.54
Gambia,GMB,females,Injuries,462.24,2.67
Georgia,GEO,persons,"Communicable, maternal, perinatal and nutritional conditions",17764.14,28.12
Georgia,GEO,persons,Noncommunicable diseases,43367.92,68.65
Georgia,GEO,persons,Injuries,2039.94,3.23
Georgia,GEO,males,"Communicable, maternal, perinatal and nutritional conditions",8443.71,13.37
Georgia,GEO,males,Noncommunicable diseases,21544.16,34.1
Georgia,GEO,males,Injuries,1449.65,2.29
Georgia,GEO,females,"Communicable, maternal, perinatal and nutritional conditions",9320.44,14.75
Georgia,GEO,females,Noncommunicable diseases,21823.76,34.55
Georgia,GEO,females,Injuries,590.29,0.93
Germany,DEU,persons,"Communicable, maternal, perinatal and nutritional conditions",111218.05,10.71
Germany,DEU,persons,Noncommunicable diseases,883010.45,85.03
Germany,DEU,persons,Injuries,44238.65,4.26
Germany,DEU,males,"Communicable, maternal, perinatal and nutritional conditions",60520.92,5.83
Germany,DEU,males,Noncommunicable diseases,437865.42,42.16
Germany,DEU,males,Injuries,25567.33,2.46
Germany,DEU,females,"Communicable, maternal, perinatal and nutritional conditions",50697.13,4.88
Germany,DEU,females,Noncommunicable diseases,445145.02,42.87
Germany,DEU,females,Injuries,18671.32,1.8
Ghana,GHA,persons,"Communicable, maternal, perinatal and nutritional conditions",93919.13,43.16
Ghana,GHA,persons,Noncommunicable diseases,101834.71,46.79
Ghana,GHA,persons,Injuries,18517.61,8.51
Ghana,GHA,males,"Communicable, maternal, perinatal and nutritional conditions",52478.19,24.11
Ghana,GHA,males,Noncommunicable diseases,52766.32,24.25
Ghana,GHA,males,Injuries,12710.24,5.84
Ghana,GHA,females,"Communicable, maternal, perinatal and nutritional conditions",41440.94,19.04
Ghana,GHA,females,Noncommunicable diseases,49068.39,22.55
Ghana,GHA,females,Injuries,5807.37,2.67
Greece,GRC,persons,"Communicable, maternal, perinatal and nutritional conditions",30598.01,19.52
Greece,GRC,persons,Noncommunicable diseases,120976.29,77.17
Greece,GRC,persons,Injuries,5185.77,3.31
Greece,GRC,males,"Communicable, maternal, perinatal and nutritional conditions",14082.27,8.98
Greece,GRC,males,Noncommunicable diseases,53063.73,33.85
Greece,GRC,males,Injuries,2915.5,1.86
Greece,GRC,females,"Communicable, maternal, perinatal and nutritional conditions",16515.73,10.54
Greece,GRC,females,Noncommunicable diseases,67912.56,43.32
Greece,GRC,females,Injuries,2270.27,1.45
Grenada,GRD,persons,"Communicable, maternal, perinatal and nutritional conditions",487.32,36.97
Grenada,GRD,persons,Noncommunicable diseases,779.11,59.11
Grenada,GRD,persons,Injuries,51.68,3.92
Grenada,GRD,males,"Communicable, maternal, perinatal and nutritional conditions",265.22,20.12
Grenada,GRD,males,Noncommunicable diseases,397.43,30.15
Grenada,GRD,males,Injuries,38.35,2.91
Grenada,GRD,females,"Communicable, maternal, perinatal and nutritional conditions",222.1,16.85
Grenada,GRD,females,Noncommunicable diseases,381.69,28.96
Grenada,GRD,females,Injuries,13.33,1.01
Guatemala,GTM,persons,"Communicable, maternal, perinatal and nutritional conditions",41317.53,37.72
Guatemala,GTM,persons,Noncommunicable diseases,46782.29,42.71
Guatemala,GTM,persons,Injuries,11249.71,10.27
Guatemala,GTM,males,"Communicable, maternal, perinatal and nutritional conditions",25694.52,23.46
Guatemala,GTM,males,Noncommunicable diseases,21738.48,19.85
Guatemala,GTM,males,Injuries,9150.95,8.35
Guatemala,GTM,females,"Communicable, maternal, perinatal and nutritional conditions",15623.01,14.26
Guatemala,GTM,females,Noncommunicable diseases,25043.8,22.86
Guatemala,GTM,females,Injuries,2098.76,1.92
Guinea,GIN,persons,"Communicable, maternal, perinatal and nutritional conditions",68972.99,56.9
Guinea,GIN,persons,Noncommunicable diseases,40017.39,33.01
Guinea,GIN,persons,Injuries,10856.89,8.96
Guinea,GIN,males,"Communicable, maternal, perinatal and nutritional conditions",35730.36,29.48
Guinea,GIN,males,Noncommunicable diseases,17607.01,14.53
Guinea,GIN,males,Injuries,6812.43,5.62
Guinea,GIN,females,"Communicable, maternal, perinatal and nutritional conditions",33242.64,27.43
Guinea,GIN,females,Noncommunicable diseases,22410.39,18.49
Guinea,GIN,females,Injuries,4044.46,3.34
Guinea-Bissau,GNB,persons,"Communicable, maternal, perinatal and nutritional conditions",11489.32,59.1
Guinea-Bissau,GNB,persons,Noncommunicable diseases,5993.31,30.83
Guinea-Bissau,GNB,persons,Injuries,1547.29,7.96
Guinea-Bissau,GNB,males,"Communicable, maternal, perinatal and nutritional conditions",5960.33,30.66
Guinea-Bissau,GNB,males,Noncommunicable diseases,2987.29,15.37
Guinea-Bissau,GNB,males,Injuries,1052.01,5.41
Guinea-Bissau,GNB,females,"Communicable, maternal, perinatal and nutritional conditions",5528.99,28.44
Guinea-Bissau,GNB,females,Noncommunicable diseases,3006.02,15.46
Guinea-Bissau,GNB,females,Injuries,495.28,2.55
Guyana,GUY,persons,"Communicable, maternal, perinatal and nutritional conditions",3396.42,44.02
Guyana,GUY,persons,Noncommunicable diseases,3642.47,47.21
Guyana,GUY,persons,Injuries,676.52,8.77
Guyana,GUY,males,"Communicable, maternal, perinatal and nutritional conditions",1908.64,24.74
Guyana,GUY,males,Noncommunicable diseases,1801.74,23.35
Guyana,GUY,males,Injuries,521.18,6.76
Guyana,GUY,females,"Communicable, maternal, perinatal and nutritional conditions",1487.78,19.28
Guyana,GUY,females,Noncommunicable diseases,1840.73,23.86
Guyana,GUY,females,Injuries,155.34,2.01
Haiti,HTI,persons,"Communicable, maternal, perinatal and nutritional conditions",29628.88,28.99
Haiti,HTI,persons,Noncommunicable diseases,55968.09,54.76
Haiti,HTI,persons,Injuries,12519.61,12.25
Haiti,HTI,males,"Communicable, maternal, perinatal and nutritional conditions",15327.5,15.0
Haiti,HTI,males,Noncommunicable diseases,23532.84,23.02
Haiti,HTI,males,Injuries,7997.85,7.82
Haiti,HTI,females,"Communicable, maternal, perinatal and nutritional conditions",14301.38,13.99
Haiti,HTI,females,Noncommunicable diseases,32435.25,31.73
Haiti,HTI,females,Injuries,4521.76,4.42
Honduras,HND,persons,"Communicable, maternal, perinatal and nutritional conditions",16817.74,27.55
Honduras,HND,persons,Noncommunicable diseases,29092.41,47.66
Honduras,HND,persons,Injuries,11235.03,18.41
Honduras,HND,males,"Communicable, maternal, perinatal and nutritional conditions",6628.75,10.86
Honduras,HND,males,Noncommunicable diseases,14604.35,23.93
Honduras,HND,males,Injuries,8077.24,13.23
Honduras,HND,females,"Communicable, maternal, perinatal and nutritional conditions",10188.99,16.69
Honduras,HND,females,Noncommunicable diseases,14488.06,23.74
Honduras,HND,females,Injuries,3157.79,5.17
Hungary,HUN,persons,"Communicable, maternal, perinatal and nutritional conditions",27542.61,17.92
Hungary,HUN,persons,Noncommunicable diseases,121060.76,78.77
Hungary,HUN,persons,Injuries,5094.8,3.31
Hungary,HUN,males,"Communicable, maternal, perinatal and nutritional conditions",14204.44,9.24
Hungary,HUN,males,Noncommunicable diseases,59180.66,38.5
Hungary,HUN,males,Injuries,3446.56,2.24
Hungary,HUN,females,"Communicable, maternal, perinatal and nutritional conditions",13338.17,8.68
Hungary,HUN,females,Noncommunicable diseases,61880.1,40.26
Hungary,HUN,females,Injuries,1648.24,1.07
Iceland,ISL,persons,"Communicable, maternal, perinatal and nutritional conditions",101.66,4.24
Iceland,ISL,persons,Noncommunicable diseases,2158.15,89.98
Iceland,ISL,persons,Injuries,138.65,5.78
Iceland,ISL,males,"Communicable, maternal, perinatal and nutritional conditions",56.06,2.34
Iceland,ISL,males,Noncommunicable diseases,1079.0,44.99
Iceland,ISL,males,Injuries,81.15,3.38
Iceland,ISL,females,"Communicable, maternal, perinatal and nutritional conditions",45.6,1.9
Iceland,ISL,females,Noncommunicable diseases,1079.15,44.99
Iceland,ISL,females,Injuries,57.5,2.4
India,IND,persons,"Communicable, maternal, perinatal and nutritional conditions",5005623.93,38.38
India,IND,persons,Noncommunicable diseases,6401446.4,49.08
India,IND,persons,Injuries,918867.25,7.04
India,IND,males,"Communicable, maternal, perinatal and nutritional conditions",2922328.41,22.41
India,IND,males,Noncommunicable diseases,3192357.03,24.48
India,IND,males,Injuries,534721.66,4.1
India,IND,females,"Communicable, maternal, perinatal and nutritional conditions",2083295.52,15.97
India,IND,females,Noncommunicable diseases,3209089.37,24.6
India,IND,females,Injuries,384145.59,2.95
Indonesia,IDN,persons,"Communicable, maternal, perinatal and nutritional conditions",915071.86,34.67
Indonesia,IDN,persons,Noncommunicable diseases,1378154.95,52.22
Indonesia,IDN,persons,Injuries,82799.22,3.14
Indonesia,IDN,males,"Communicable, maternal, perinatal and nutritional conditions",507266.1,19.22
Indonesia,IDN,males,Noncommunicable diseases,639783.67,24.24
Indonesia,IDN,males,Injuries,54095.16,2.05
Indonesia,IDN,females,"Communicable, maternal, perinatal and nutritional conditions",407805.76,15.45
Indonesia,IDN,females,Noncommunicable diseases,738371.27,27.98
Indonesia,IDN,females,Injuries,28704.06,1.09
Iran (Islamic Republic of),IRN,persons,"Communicable, maternal, perinatal and nutritional conditions",152043.15,29.51
Iran (Islamic Republic of),IRN,persons,Noncommunicable diseases,291685.37,56.62
Iran (Islamic Republic of),IRN,persons,Injuries,35227.18,6.84
Iran (Islamic Republic of),IRN,males,"Communicable, maternal, perinatal and nutritional conditions",88351.12,17.15
Iran (Islamic Republic of),IRN,males,Noncommunicable diseases,140099.06,27.19
Iran (Islamic Republic of),IRN,males,Injuries,25911.91,5.03
Iran (Islamic Republic of),IRN,females,"Communicable, maternal, perinatal and nutritional conditions",63692.03,12.36
Iran (Islamic Republic of),IRN,females,Noncommunicable diseases,151586.3,29.42
Iran (Islamic Republic of),IRN,females,Injuries,9315.27,1.81
Iraq,IRQ,persons,"Communicable, maternal, perinatal and nutritional conditions",37308.71,20.13
Iraq,IRQ,persons,Noncommunicable diseases,117560.44,63.43
Iraq,IRQ,persons,Injuries,25513.61,13.77
Iraq,IRQ,males,"Communicable, maternal, perinatal and nutritional conditions",21320.63,11.5
Iraq,IRQ,males,Noncommunicable diseases,57486.11,31.02
Iraq,IRQ,males,Injuries,18780.42,10.13
Iraq,IRQ,females,"Communicable, maternal, perinatal and nutritional conditions",15988.08,8.63
Iraq,IRQ,females,Noncommunicable diseases,60074.33,32.41
Iraq,IRQ,females,Injuries,6733.18,3.63
Ireland,IRL,persons,"Communicable, maternal, perinatal and nutritional conditions",5246.92,14.72
Ireland,IRL,persons,Noncommunicable diseases,29134.1,81.73
Ireland,IRL,persons,Injuries,1264.39,3.55
Ireland,IRL,males,"Communicable, maternal, perinatal and nutritional conditions",2549.52,7.15
Ireland,IRL,males,Noncommunicable diseases,15243.44,42.76
Ireland,IRL,males,Injuries,839.17,2.35
Ireland,IRL,females,"Communicable, maternal, perinatal and nutritional conditions",2697.41,7.57
Ireland,IRL,females,Noncommunicable diseases,13890.67,38.97
Ireland,IRL,females,Injuries,425.23,1.19
Israel,ISR,persons,"Communicable, maternal, perinatal and nutritional conditions",10185.93,18.95
Israel,ISR,persons,Noncommunicable diseases,41347.49,76.94
Israel,ISR,persons,Injuries,2205.72,4.1
Israel,ISR,males,"Communicable, maternal, perinatal and nutritional conditions",4561.79,8.49
Israel,ISR,males,Noncommunicable diseases,13683.92,25.46
Israel,ISR,males,Injuries,1297.38,2.41
Israel,ISR,females,"Communicable, maternal, perinatal and nutritional conditions",5624.14,10.47
Israel,ISR,females,Noncommunicable diseases,27663.57,51.48
Israel,ISR,females,Injuries,908.34,1.69
Italy,ITA,persons,"Communicable, maternal, perinatal and nutritional conditions",106817.23,15.04
Italy,ITA,persons,Noncommunicable diseases,578783.88,81.49
Italy,ITA,persons,Injuries,24684.05,3.48
Italy,ITA,males,"Communicable, maternal, perinatal and nutritional conditions",55939.62,7.88
Italy,ITA,males,Noncommunicable diseases,282669.36,39.8
Italy,ITA,males,Injuries,14038.51,1.98
Italy,ITA,females,"Communicable, maternal, perinatal and nutritional conditions",50877.6,7.16
Italy,ITA,females,Noncommunicable diseases,296114.52,41.69
Italy,ITA,females,Injuries,10645.53,1.5
Jamaica,JAM,persons,"Communicable, maternal, perinatal and nutritional conditions",4507.46,16.7
Jamaica,JAM,persons,Noncommunicable diseases,18534.97,68.68
Jamaica,JAM,persons,Injuries,2472.61,9.16
Jamaica,JAM,males,"Communicable, maternal, perinatal and nutritional conditions",2398.38,8.89
Jamaica,JAM,males,Noncommunicable diseases,9216.72,34.15
Jamaica,JAM,males,Injuries,1901.92,7.05
Jamaica,JAM,females,"Communicable, maternal, perinatal and nutritional conditions",2109.08,7.82
Jamaica,JAM,females,Noncommunicable diseases,9318.25,34.53
Jamaica,JAM,females,Injuries,570.68,2.11
Japan,JPN,persons,"Communicable, maternal, perinatal and nutritional conditions",137939.86,9.94
Japan,JPN,persons,Noncommunicable diseases,1184404.99,85.34
Japan,JPN,persons,Injuries,65465.77,4.72
Japan,JPN,males,"Communicable, maternal, perinatal and nutritional conditions",73807.24,5.32
Japan,JPN,males,Noncommunicable diseases,606289.18,43.69
Japan,JPN,males,Injuries,39629.35,2.86
Japan,JPN,females,"Communicable, maternal, perinatal and nutritional conditions",64132.62,4.62
Japan,JPN,females,Noncommunicable diseases,578115.82,41.66
Japan,JPN,females,Injuries,25836.42,1.86
Jordan,JOR,persons,"Communicable, maternal, perinatal and nutritional conditions",12425.15,31.5
Jordan,JOR,persons,Noncommunicable diseases,21321.8,54.05
Jordan,JOR,persons,Injuries,2392.11,6.06
Jordan,JOR,males,"Communicable, maternal, perinatal and nutritional conditions",7437.4,18.85
Jordan,JOR,males,Noncommunicable diseases,9960.63,25.25
Jordan,JOR,males,Injuries,1717.65,4.35
Jordan,JOR,females,"Communicable, maternal, perinatal and nutritional conditions",4987.75,12.64
Jordan,JOR,females,Noncommunicable diseases,11361.17,28.8
Jordan,JOR,females,Injuries,674.46,1.71
Kazakhstan,KAZ,persons,"Communicable, maternal, perinatal and nutritional conditions",50329.96,26.92
Kazakhstan,KAZ,persons,Noncommunicable diseases,111944.33,59.88
Kazakhstan,KAZ,persons,Injuries,9650.65,5.16
Kazakhstan,KAZ,males,"Communicable, maternal, perinatal and nutritional conditions",27448.26,14.68
Kazakhstan,KAZ,males,Noncommunicable diseases,52818.28,28.25
Kazakhstan,KAZ,males,Injuries,7369.12,3.94
Kazakhstan,KAZ,females,"Communicable, maternal, perinatal and nutritional conditions",22881.7,12.24
Kazakhstan,KAZ,females,Noncommunicable diseases,59126.05,31.63
Kazakhstan,KAZ,females,Injuries,2281.53,1.22
Kenya,KEN,persons,"Communicable, maternal, perinatal and nutritional conditions",154268.52,50.31
Kenya,KEN,persons,Noncommunicable diseases,115857.99,37.79
Kenya,KEN,persons,Injuries,30450.12,9.93
Kenya,KEN,males,"Communicable, maternal, perinatal and nutritional conditions",89721.98,29.26
Kenya,KEN,males,Noncommunicable diseases,52415.89,17.09
Kenya,KEN,males,Injuries,20638.67,6.73
Kenya,KEN,females,"Communicable, maternal, perinatal and nutritional conditions",64546.54,21.05
Kenya,KEN,females,Noncommunicable diseases,63442.1,20.69
Kenya,KEN,females,Injuries,9811.44,3.2
Kiribati,KIR,persons,"Communicable, maternal, perinatal and nutritional conditions",385.68,30.12
Kiribati,KIR,persons,Noncommunicable diseases,839.15,65.53
Kiribati,KIR,persons,Injuries,55.82,4.36
Kiribati,KIR,males,"Communicable, maternal, perinatal and nutritional conditions",201.14,15.71
Kiribati,KIR,males,Noncommunicable diseases,428.65,33.47
Kiribati,KIR,males,Injuries,41.68,3.25
Kiribati,KIR,females,"Communicable, maternal, perinatal and nutritional conditions",184.55,14.41
Kiribati,KIR,females,Noncommunicable diseases,410.5,32.05
Kiribati,KIR,females,Injuries,14.14,1.1
Kuwait,KWT,persons,"Communicable, maternal, perinatal and nutritional conditions",2995.92,26.25
Kuwait,KWT,persons,Noncommunicable diseases,6731.51,58.97
Kuwait,KWT,persons,Injuries,943.48,8.27
Kuwait,KWT,males,"Communicable, maternal, perinatal and nutritional conditions",1699.24,14.89
Kuwait,KWT,males,Noncommunicable diseases,5028.61,44.05
Kuwait,KWT,males,Injuries,856.49,7.5
Kuwait,KWT,females,"Communicable, maternal, perinatal and nutritional conditions",1296.68,11.36
Kuwait,KWT,females,Noncommunicable diseases,1702.9,14.92
Kuwait,KWT,females,Injuries,86.99,0.76
Kyrgyzstan,KGZ,persons,"Communicable, maternal, perinatal and nutritional conditions",9940.2,25.59
Kyrgyzstan,KGZ,persons,Noncommunicable diseases,23856.32,61.43
Kyrgyzstan,KGZ,persons,Injuries,2525.89,6.5
Kyrgyzstan,KGZ,males,"Communicable, maternal, perinatal and nutritional conditions",5696.06,14.67
Kyrgyzstan,KGZ,males,Noncommunicable diseases,13484.13,34.72
Kyrgyzstan,KGZ,males,Injuries,1941.44,5.0
Kyrgyzstan,KGZ,females,"Communicable, maternal, perinatal and nutritional conditions",4244.14,10.93
Kyrgyzstan,KGZ,females,Noncommunicable diseases,10372.19,26.71
Kyrgyzstan,KGZ,females,Injuries,584.45,1.5
