country,iso3,sex,major_category,number_of_deaths,percentage_of_total_deaths
Azerbaijan,AZE,persons,"Communicable, maternal, perinatal and nutritional conditions",21032.47,29.08
Azerbaijan,AZE,persons,Noncommunicable diseases,42501.48,58.76
Azerbaijan,AZE,persons,Injuries,3069.79,4.24
Azerbaijan,AZE,males,"Communicable, maternal, perinatal and nutritional conditions",12375.73,17.11
Azerbaijan,AZE,males,Noncommunicable diseases,18757.24,25.93
Azerbaijan,AZE,males,Injuries,2236.84,3.09
Azerbaijan,AZE,females,"Communicable, maternal, perinatal and nutritional conditions",8656.74,11.97
Azerbaijan,AZE,females,Noncommunicable diseases,23744.24,32.83
Azerbaijan,AZE,females,Injuries,832.95,1.15
Bahamas,BHS,persons,"Communicable, maternal, perinatal and nutritional conditions",1179.99,25.91
Bahamas,BHS,persons,Noncommunicable diseases,2724.67,59.82
Bahamas,BHS,persons,Injuries,358.23,7.87
Bahamas,BHS,males,"Communicable, maternal, perinatal and nutritional conditions",585.12,12.85
Bahamas,BHS,males,Noncommunicable diseases,1368.75,30.05
Bahamas,BHS,males,Injuries,285.23,6.26
Bahamas,BHS,females,"Communicable, maternal, perinatal and nutritional conditions",594.87,13.06
Bahamas,BHS,females,Noncommunicable diseases,1355.92,29.77
Bahamas,BHS,females,Injuries,73.0,1.6
Bahrain,BHR,persons,"Communicable, maternal, perinatal and nutritional conditions",1052.3,17.18
Bahrain,BHR,persons,Noncommunicable diseases,4555.41,74.38
Bahrain,BHR,persons,Injuries,320.87,5.24
Bahrain,BHR,males,"Communicable, maternal, perinatal and nutritional conditions",657.59,10.74
Bahrain,BHR,males,Noncommunicable diseases,2494.53,40.73
Bahrain,BHR,males,Injuries,263.78,4.31
Bahrain,BHR,females,"Communicable, maternal, perinatal and nutritional conditions",394.71,6.45
Bahrain,BHR,females,Noncommunicable diseases,2060.89,33.65
Bahrain,BHR,females,Injuries,57.09,0.93
Bangladesh,BGD,persons,"Communicable, maternal, perinatal and nutritional conditions",246607.9,26.88
Bangladesh,BGD,persons,Noncommunicable diseases,578585.04,63.07
Bangladesh,BGD,persons,Injuries,63318.84,6.9
Bangladesh,BGD,males,"Communicable, maternal, perinatal and nutritional conditions",134684.23,14.68
Bangladesh,BGD,males,Noncommunicable diseases,287544.14,31.35
Bangladesh,BGD,males,Injuries,47772.59,5.21
Bangladesh,BGD,females,"Communicable, maternal, perinatal and nutritional conditions",111923.67,12.2
Bangladesh,BGD,females,Noncommunicable diseases,291040.91,31.73
Bangladesh,BGD,females,Injuries,15546.25,1.69
Barbados,BRB,persons,"Communicable, maternal, perinatal and nutritional conditions",429.45,16.44
Barbados,BRB,persons,Noncommunicable diseases,2068.78,79.18
Barbados,BRB,persons,Injuries,114.5,4.38
Barbados,BRB,males,"Communicable, maternal, perinatal and nutritional conditions",205.8,7.88
Barbados,BRB,males,Noncommunicable diseases,959.47,36.72
Barbados,BRB,males,Injuries,79.91,3.06
Barbados,BRB,females,"Communicable, maternal, perinatal and nutritional conditions",223.65,8.56
Barbados,BRB,females,Noncommunicable diseases,1109.31,42.46
Barbados,BRB,females,Injuries,34.59,1.32
Belarus,BLR,persons,"Communicable, maternal, perinatal and nutritional conditions",21464.6,16.01
Belarus,BLR,persons,Noncommunicable diseases,101005.64,75.33
Belarus,BLR,persons,Injuries,5244.77,3.91
Belarus,BLR,males,"Communicable, maternal, perinatal and nutritional conditions",10882.35,8.12
Belarus,BLR,males,Noncommunicable diseases,50933.92,37.99
Belarus,BLR,males,Injuries,4077.3,3.04
Belarus,BLR,females,"Communicable, maternal, perinatal and nutritional conditions",10582.25,7.89
Belarus,BLR,females,Noncommunicable diseases,50071.72,37.34
Belarus,BLR,females,Injuries,1167.48,0.87
Belgium,BEL,persons,"Communicable, maternal, perinatal and nutritional conditions",20059.67,17.9
Belgium,BEL,persons,Noncommunicable diseases,84992.61,75.85
Belgium,BEL,persons,Injuries,6995.95,6.24
Belgium,BEL,males,"Communicable, maternal, perinatal and nutritional conditions",9593.58,8.56
Belgium,BEL,males,Noncommunicable diseases,42834.44,38.23
Belgium,BEL,males,Injuries,4055.88,3.62
Belgium,BEL,females,"Communicable, maternal, perinatal and nutritional conditions",10466.08,9.34
Belgium,BEL,females,Noncommunicable diseases,42158.17,37.63
Belgium,BEL,females,Injuries,2940.07,2.62
Belize,BLZ,persons,"Communicable, maternal, perinatal and nutritional conditions",526.67,27.23
Belize,BLZ,persons,Noncommunicable diseases,1043.66,53.95
Belize,BLZ,persons,Injuries,302.11,15.62
Belize,BLZ,males,"Communicable, maternal, perinatal and nutritional conditions",321.91,16.64
Belize,BLZ,males,Noncommunicable diseases,487.38,25.2
Belize,BLZ,males,Injuries,249.78,12.91
Belize,BLZ,females,"Communicable, maternal, perinatal and nutritional conditions",204.76,10.59
Belize,BLZ,females,Noncommunicable diseases,556.28,28.76
Belize,BLZ,females,Injuries,52.33,2.71
Benin,BEN,persons,"Communicable, maternal, perinatal and nutritional conditions",53172.95,53.36
Benin,BEN,persons,Noncommunicable diseases,36103.41,36.23
Benin,BEN,persons,Injuries,9240.83,9.27
Benin,BEN,males,"Communicable, maternal, perinatal and nutritional conditions",28342.05,28.44
Benin,BEN,males,Noncommunicable diseases,18814.35,18.88
Benin,BEN,males,Injuries,6279.96,6.3
Benin,BEN,females,"Communicable, maternal, perinatal and nutritional conditions",24830.9,24.92
